Relative Time (s),Cotton-Dry-Wind4ms,Cotton-Dry-Wind8ms,Cotton-Dry-Wind15ms,Cotton-Moisture30pct-Wind4ms,Cotton-Moisture30pct-Wind8ms,Cotton-Moisture30pct-Wind15ms,Polyester-Dry-Wind4ms,Polyester-Dry-Wind8ms,Polyester-Dry-Wind15ms,Polyester-Moisture30pct-Wind4ms,Polyester-Moisture30pct-Wind8ms,Polyester-Moisture30pct-Wind15ms,Wool-Dry-Wind4ms,Wool-Dry-Wind8ms,Wool-Dry-Wind15ms,Wool-Moisture30pct-Wind4ms,Wool-Moisture30pct-Wind8ms,Wool-Moisture30pct-Wind15ms
0.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00
0.09,45.00,44.96,44.95,44.99,44.95,44.99,44.99,45.00,44.98,44.98,44.97,44.98,44.98,44.98,44.96,44.99,44.96,44.98
0.18,44.99,44.94,44.93,44.98,44.94,44.95,44.98,44.98,44.96,44.97,44.96,44.96,44.97,44.97,44.94,44.97,44.93,44.95
0.27,44.98,44.93,44.90,44.96,44.91,44.92,44.98,44.96,44.93,44.96,44.93,44.93,44.96,44.95,44.92,44.96,44.91,44.93
0.36,44.97,44.92,44.88,44.94,44.88,44.87,44.96,44.94,44.90,44.95,44.92,44.90,44.95,44.94,44.89,44.95,44.89,44.90
0.45,44.95,44.90,44.86,44.93,44.86,44.85,44.95,44.92,44.88,44.93,44.90,44.87,44.94,44.92,44.88,44.94,44.87,44.89
0.54,44.94,44.88,44.83,44.91,44.83,44.81,44.94,44.90,44.85,44.92,44.88,44.85,44.93,44.91,44.85,44.92,44.86,44.86
0.63,44.93,44.86,44.80,44.89,44.80,44.77,44.93,44.88,44.84,44.91,44.87,44.83,44.92,44.90,44.83,44.91,44.85,44.83
0.72,44.91,44.84,44.78,44.87,44.77,44.74,44.92,44.87,44.81,44.90,44.84,44.81,44.91,44.89,44.81,44.91,44.84,44.80
0.81,44.90,44.83,44.75,44.85,44.75,44.70,44.92,44.85,44.78,44.88,44.82,44.78,44.90,44.88,44.78,44.89,44.82,44.78
0.90,44.88,44.81,44.73,44.84,44.72,44.66,44.90,44.84,44.76,44.87,44.80,44.75,44.90,44.86,44.76,44.87,44.80,44.75
0.99,44.87,44.79,44.71,44.82,44.70,44.63,44.89,44.82,44.73,44.86,44.78,44.72,44.89,44.84,44.74,44.86,44.78,44.72
1.08,44.86,44.78,44.68,44.81,44.68,44.60,44.89,44.80,44.70,44.84,44.76,44.70,44.88,44.83,44.72,44.85,44.77,44.70
1.17,44.85,44.76,44.65,44.79,44.66,44.56,44.88,44.79,44.67,44.83,44.74,44.67,44.87,44.82,44.69,44.84,44.75,44.67
1.26,44.84,44.73,44.61,44.77,44.63,44.52,44.86,44.78,44.64,44.82,44.72,44.65,44.86,44.81,44.67,44.82,44.73,44.64
1.35,44.83,44.71,44.58,44.75,44.60,44.49,44.84,44.76,44.62,44.80,44.70,44.63,44.86,44.79,44.64,44.81,44.71,44.61
1.44,44.81,44.69,44.55,44.73,44.57,44.45,44.83,44.74,44.59,44.79,44.68,44.60,44.84,44.77,44.63,44.80,44.69,44.57
1.53,44.80,44.67,44.53,44.72,44.55,44.42,44.82,44.72,44.56,44.78,44.65,44.56,44.84,44.76,44.59,44.79,44.68,44.55
1.62,44.78,44.65,44.49,44.70,44.53,44.38,44.81,44.71,44.54,44.76,44.63,44.54,44.83,44.75,44.58,44.78,44.66,44.54
1.71,44.78,44.63,44.47,44.68,44.50,44.33,44.80,44.69,44.52,44.75,44.62,44.50,44.82,44.74,44.56,44.77,44.65,44.51
1.80,44.76,44.60,44.44,44.66,44.47,44.30,44.79,44.67,44.50,44.74,44.59,44.46,44.81,44.73,44.54,44.76,44.63,44.49
1.89,44.75,44.58,44.41,44.65,44.45,44.26,44.78,44.65,44.47,44.72,44.57,44.44,44.81,44.71,44.52,44.74,44.60,44.47
1.98,44.74,44.57,44.39,44.63,44.43,44.23,44.77,44.64,44.45,44.71,44.56,44.41,44.80,44.69,44.50,44.73,44.59,44.45
2.07,44.73,44.56,44.37,44.61,44.41,44.19,44.76,44.62,44.42,44.70,44.54,44.37,44.79,44.68,44.48,44.72,44.57,44.42
2.16,44.71,44.54,44.35,44.59,44.39,44.14,44.76,44.61,44.39,44.69,44.52,44.35,44.78,44.67,44.46,44.70,44.54,44.39
2.25,44.70,44.53,44.33,44.57,44.36,44.11,44.74,44.58,44.37,44.68,44.51,44.31,44.77,44.66,44.45,44.69,44.52,44.36
2.34,44.69,44.51,44.30,44.55,44.33,44.07,44.73,44.57,44.35,44.66,44.49,44.29,44.76,44.64,44.44,44.68,44.50,44.33
2.43,44.68,44.49,44.27,44.54,44.30,44.04,44.71,44.54,44.32,44.66,44.47,44.27,44.75,44.63,44.42,44.67,44.48,44.30
2.52,44.67,44.48,44.24,44.52,44.27,43.99,44.70,44.53,44.29,44.64,44.46,44.25,44.74,44.61,44.40,44.66,44.46,44.28
2.61,44.66,44.46,44.22,44.50,44.25,43.95,44.69,44.51,44.27,44.62,44.44,44.22,44.74,44.59,44.38,44.64,44.45,44.25
2.70,44.65,44.44,44.19,44.48,44.23,43.92,44.68,44.49,44.24,44.61,44.42,44.19,44.72,44.58,44.36,44.63,44.43,44.22
2.79,44.63,44.42,44.16,44.46,44.20,43.88,44.68,44.47,44.23,44.60,44.39,44.16,44.72,44.57,44.34,44.62,44.42,44.19
2.88,44.61,44.40,44.14,44.44,44.18,43.83,44.67,44.46,44.20,44.59,44.37,44.13,44.71,44.55,44.32,44.60,44.40,44.16
2.97,44.60,44.38,44.12,44.42,44.15,43.80,44.66,44.44,44.18,44.57,44.35,44.12,44.70,44.54,44.30,44.58,44.38,44.14
3.06,44.58,44.36,44.08,44.40,44.13,43.76,44.64,44.42,44.15,44.57,44.33,44.09,44.70,44.52,44.28,44.57,44.37,44.11
3.15,44.58,44.34,44.07,44.38,44.10,43.73,44.63,44.40,44.12,44.55,44.31,44.06,44.69,44.50,44.25,44.55,44.36,44.09
3.24,44.56,44.32,44.04,44.37,44.08,43.70,44.62,44.39,44.11,44.54,44.30,44.04,44.68,44.49,44.23,44.54,44.35,44.07
3.33,44.55,44.30,44.02,44.36,44.06,43.67,44.61,44.38,44.09,44.53,44.29,44.01,44.67,44.48,44.21,44.53,44.33,44.03
3.42,44.54,44.29,43.99,44.34,44.04,43.64,44.59,44.36,44.06,44.52,44.26,43.99,44.66,44.47,44.19,44.52,44.32,44.01
3.51,44.52,44.27,43.97,44.32,44.02,43.60,44.58,44.34,44.03,44.51,44.24,43.96,44.65,44.46,44.17,44.51,44.30,43.98
3.60,44.51,44.26,43.93,44.31,43.99,43.56,44.57,44.33,44.02,44.50,44.22,43.93,44.64,44.44,44.15,44.50,44.28,43.96
3.69,44.49,44.24,43.92,44.30,43.97,43.52,44.56,44.31,43.99,44.49,44.21,43.91,44.63,44.43,44.14,44.49,44.27,43.93
