Material,Condition,Moisture Content (%),Wind Speed (m/s),Inverter Setting,Mean Room Temperature (degC),Mean Room RH (%),Mean Pressure (hPa),PT100 at 0 s (degC),PT100 at 30 s (degC),PT100 at 60 s (degC),PT100 at 120 s (degC),PT100 at 240 s (degC),PT100 at 420 s (degC),PT100 at 600 s (degC),BME280 at 0 s (degC),BME280 at 600 s (degC),Humidity at 0 s (%),Humidity Minimum (%),Humidity Maximum (%),Humidity at 600 s (%),Humidity Total Range (%),Initial 0-30 s Slope (degC/s),Final 570-600 s Slope (degC/s),Initial to Final Slope Ratio,Model R2,Model RMSE (degC),Final PT100 minus Mean Room Temperature (degC)
Cotton,Dry,0,4,10,27.953,41.662,1008.915,45.00,41.36,38.51,34.51,30.47,28.55,28.10,44.16,27.92,41.31,41.22,42.18,42.13,0.97,-0.12044,-0.00159,75.53,0.99999,0.0147,0.143
Cotton,Dry,0,8,20,27.960,41.974,1008.794,45.00,39.75,36.14,31.91,28.86,28.09,27.95,43.80,27.78,41.55,41.54,42.70,42.43,1.17,-0.17371,0.00013,1348.09,0.99998,0.0176,-0.014
Cotton,Dry,0,15,40,27.996,42.417,1008.369,45.00,37.91,33.74,29.96,28.23,28.00,27.98,43.39,27.70,41.90,41.85,43.12,43.02,1.28,-0.23571,-0.00009,2657.98,0.99996,0.0213,-0.014
Cotton,Moisture30pct,30,4,10,27.978,41.989,1008.871,45.00,40.09,36.52,32.01,28.42,27.73,27.73,43.90,27.55,42.65,42.65,48.00,43.88,5.34,-0.16324,-0.00023,709.49,0.99976,0.0623,-0.244
Cotton,Moisture30pct,30,8,20,28.048,41.858,1008.762,45.00,38.15,33.86,29.57,27.78,27.81,27.90,43.59,27.71,42.55,42.55,47.84,43.67,5.30,-0.22658,0.00039,576.91,0.99851,0.1326,-0.146
Cotton,Moisture30pct,30,15,40,27.975,42.323,1008.372,45.00,35.89,31.35,28.00,27.72,27.78,27.97,43.16,27.66,43.12,43.12,48.05,43.94,4.92,-0.30146,0.00039,780.09,0.99674,0.1679,-0.008
Polyester,Dry,0,4,10,28.033,42.040,1008.874,45.00,41.76,39.10,35.26,31.08,28.90,28.29,43.97,28.06,41.66,41.66,42.72,42.52,1.07,-0.10838,-0.00269,40.34,0.99999,0.0147,0.255
Polyester,Dry,0,8,20,27.978,41.383,1008.787,45.00,40.23,36.83,32.55,29.23,28.16,28.01,43.65,27.78,41.03,41.00,42.01,41.78,1.02,-0.15837,-0.00027,592.63,0.99998,0.0173,0.031
Polyester,Dry,0,15,40,28.007,42.069,1008.371,45.00,38.45,34.49,30.50,28.38,28.05,28.03,43.26,27.72,41.58,41.54,42.39,42.23,0.85,-0.21584,-0.00007,2935.72,0.99996,0.0216,0.018
Polyester,Moisture30pct,30,4,10,27.976,42.345,1008.886,45.00,41.25,38.31,34.26,30.29,28.50,28.10,43.70,27.88,42.98,42.98,45.69,43.15,2.72,-0.12446,-0.00104,120.12,0.99999,0.0158,0.125
Polyester,Moisture30pct,30,8,20,28.014,42.327,1008.773,45.00,39.64,35.91,31.67,28.71,28.07,28.03,43.39,27.82,43.07,43.07,45.67,43.17,2.60,-0.17788,-0.00068,262.78,0.99997,0.0189,0.021
Polyester,Moisture30pct,30,15,40,27.980,42.180,1008.330,45.00,37.73,33.52,29.66,28.11,27.90,28.00,43.01,27.73,42.87,42.73,45.18,43.04,2.44,-0.24194,-0.00038,641.02,0.99995,0.0241,0.016
Wool,Dry,0,4,10,28.010,41.707,1008.867,45.00,42.18,39.83,36.23,31.97,29.34,28.46,43.80,28.24,41.20,41.11,42.38,42.29,1.26,-0.09443,-0.00277,34.15,0.99999,0.0144,0.445
Wool,Dry,0,8,20,28.026,42.807,1008.738,45.00,40.85,37.74,33.59,29.79,28.36,28.08,43.44,27.88,42.44,42.37,43.53,43.38,1.16,-0.13794,-0.00088,155.89,0.99998,0.0173,0.051
Wool,Dry,0,15,40,28.059,41.303,1008.346,45.00,39.26,35.47,31.31,28.67,28.13,28.07,43.07,27.84,41.03,40.95,41.71,41.54,0.76,-0.18999,0.00028,671.50,0.99995,0.0247,0.008
Wool,Moisture30pct,30,4,10,28.043,42.376,1008.869,45.00,41.35,38.43,34.26,30.00,28.12,27.83,43.52,27.62,42.93,42.93,47.60,44.38,4.67,-0.12185,-0.00047,260.09,0.99999,0.0139,-0.216
Wool,Moisture30pct,30,8,20,27.984,42.363,1008.790,45.00,39.78,36.03,31.51,28.24,27.75,27.75,43.20,27.53,42.97,42.97,47.56,44.13,4.59,-0.17423,0.00048,361.48,0.99980,0.0551,-0.234
Wool,Moisture30pct,30,15,40,27.970,42.480,1008.351,45.00,37.87,33.50,29.36,27.73,27.71,27.83,42.80,27.57,43.20,43.20,47.39,44.15,4.19,-0.23604,0.00192,122.63,0.99904,0.1052,-0.136
