Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.39,41.90,1008.41
2,0.09,44.95,43.37,41.90,1008.42
3,0.18,44.93,43.34,41.89,1008.42
4,0.27,44.90,43.31,41.87,1008.42
5,0.36,44.88,43.29,41.88,1008.41
6,0.45,44.86,43.26,41.86,1008.41
7,0.54,44.83,43.24,41.86,1008.41
8,0.63,44.80,43.23,41.85,1008.40
9,0.72,44.78,43.20,41.85,1008.40
10,0.81,44.75,43.15,41.87,1008.39
11,0.90,44.73,43.12,41.86,1008.38
12,0.99,44.71,43.10,41.87,1008.37
13,1.08,44.68,43.08,41.88,1008.36
14,1.17,44.65,43.06,41.86,1008.34
15,1.26,44.61,43.03,41.87,1008.34
16,1.35,44.58,43.01,41.87,1008.33
17,1.44,44.55,42.98,41.88,1008.34
18,1.53,44.53,42.96,41.87,1008.33
19,1.62,44.49,42.94,41.88,1008.33
20,1.71,44.47,42.92,41.87,1008.32
21,1.80,44.44,42.89,41.86,1008.32
22,1.89,44.41,42.87,41.87,1008.32
23,1.98,44.39,42.83,41.86,1008.32
24,2.07,44.37,42.80,41.87,1008.33
25,2.16,44.35,42.78,41.86,1008.32
26,2.25,44.33,42.76,41.87,1008.33
27,2.34,44.30,42.73,41.87,1008.33
28,2.43,44.27,42.70,41.87,1008.35
29,2.52,44.24,42.67,41.88,1008.35
30,2.61,44.22,42.65,41.89,1008.35
31,2.70,44.19,42.61,41.89,1008.35
32,2.79,44.16,42.59,41.89,1008.35
33,2.88,44.14,42.58,41.90,1008.35
34,2.97,44.12,42.56,41.90,1008.36
35,3.06,44.08,42.54,41.90,1008.36
36,3.15,44.07,42.52,41.90,1008.37
37,3.24,44.04,42.48,41.90,1008.37
38,3.33,44.02,42.45,41.89,1008.38
39,3.42,43.99,42.42,41.90,1008.38
40,3.51,43.97,42.39,41.90,1008.38
41,3.60,43.93,42.36,41.89,1008.38
42,3.69,43.92,42.33,41.89,1008.39
43,3.78,43.90,42.29,41.88,1008.39
44,3.87,43.88,42.26,41.90,1008.39
45,3.96,43.86,42.23,41.89,1008.39
46,4.05,43.83,42.21,41.89,1008.39
47,4.14,43.80,42.18,41.90,1008.40
48,4.23,43.78,42.16,41.90,1008.40
49,4.32,43.76,42.14,41.89,1008.41
50,4.41,43.73,42.12,41.90,1008.42
51,4.50,43.70,42.10,41.91,1008.42
52,4.59,43.67,42.08,41.91,1008.43
53,4.68,43.65,42.07,41.92,1008.43
54,4.77,43.62,42.04,41.91,1008.44
55,4.86,43.60,42.02,41.92,1008.44
56,4.95,43.57,42.01,41.91,1008.44
57,5.04,43.54,41.99,41.92,1008.44
58,5.13,43.51,41.96,41.92,1008.44
59,5.22,43.48,41.93,41.91,1008.44
60,5.31,43.46,41.90,41.91,1008.45
61,5.40,43.44,41.88,41.91,1008.44
62,5.49,43.42,41.85,41.90,1008.43
63,5.58,43.40,41.83,41.91,1008.43
64,5.67,43.36,41.81,41.93,1008.43
65,5.76,43.33,41.79,41.93,1008.43
66,5.85,43.32,41.77,41.94,1008.42
