Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,44.14,40.88,1008.95
2,0.09,45.00,44.13,40.86,1008.94
3,0.18,44.99,44.12,40.86,1008.94
4,0.27,44.98,44.11,40.87,1008.94
5,0.36,44.98,44.08,40.84,1008.94
6,0.45,44.96,44.08,40.84,1008.94
7,0.54,44.95,44.07,40.82,1008.94
8,0.63,44.94,44.05,40.82,1008.93
9,0.72,44.92,44.04,40.81,1008.93
10,0.81,44.90,44.03,40.82,1008.93
11,0.90,44.89,44.02,40.82,1008.93
12,0.99,44.87,44.01,40.82,1008.93
13,1.08,44.86,44.00,40.84,1008.93
14,1.17,44.86,43.99,40.86,1008.93
15,1.26,44.84,43.97,40.87,1008.93
16,1.35,44.83,43.95,40.86,1008.93
17,1.44,44.80,43.94,40.88,1008.93
18,1.53,44.79,43.94,40.88,1008.92
19,1.62,44.78,43.92,40.87,1008.92
20,1.71,44.78,43.91,40.83,1008.93
21,1.80,44.77,43.90,40.85,1008.93
22,1.89,44.75,43.90,40.83,1008.92
23,1.98,44.74,43.89,40.83,1008.92
24,2.07,44.73,43.89,40.82,1008.92
25,2.16,44.72,43.89,40.82,1008.93
26,2.25,44.70,43.88,40.81,1008.92
27,2.34,44.69,43.88,40.79,1008.92
28,2.43,44.69,43.86,40.79,1008.92
29,2.52,44.68,43.85,40.81,1008.92
30,2.61,44.67,43.83,40.82,1008.92
31,2.70,44.65,43.81,40.84,1008.92
32,2.79,44.63,43.80,40.84,1008.93
33,2.88,44.61,43.78,40.84,1008.93
34,2.97,44.59,43.77,40.81,1008.93
35,3.06,44.59,43.74,40.83,1008.93
36,3.15,44.58,43.73,40.82,1008.93
37,3.24,44.58,43.72,40.86,1008.94
38,3.33,44.55,43.71,40.85,1008.94
39,3.42,44.54,43.71,40.84,1008.94
40,3.51,44.53,43.71,40.85,1008.94
41,3.60,44.52,43.70,40.85,1008.95
42,3.69,44.50,43.68,40.85,1008.95
43,3.78,44.48,43.65,40.85,1008.96
44,3.87,44.47,43.65,40.87,1008.96
45,3.96,44.45,43.64,40.90,1008.96
46,4.05,44.44,43.62,40.90,1008.96
47,4.14,44.43,43.61,40.90,1008.96
48,4.23,44.43,43.60,40.90,1008.97
49,4.32,44.42,43.60,40.93,1008.97
50,4.41,44.40,43.58,40.91,1008.97
51,4.50,44.39,43.58,40.94,1008.97
52,4.59,44.37,43.57,40.93,1008.97
53,4.68,44.37,43.56,40.93,1008.98
54,4.77,44.36,43.54,40.95,1008.98
55,4.86,44.34,43.53,40.95,1008.97
56,4.95,44.32,43.51,40.94,1008.98
57,5.04,44.31,43.50,40.92,1008.98
58,5.13,44.30,43.48,40.93,1008.98
59,5.22,44.28,43.47,40.93,1008.98
60,5.31,44.28,43.46,40.94,1008.98
61,5.40,44.26,43.45,40.97,1008.98
62,5.49,44.25,43.44,40.98,1008.98
63,5.58,44.23,43.43,40.95,1008.97
64,5.67,44.22,43.43,40.94,1008.97
65,5.76,44.20,43.41,40.94,1008.97
66,5.85,44.19,43.39,40.93,1008.97
67,5.94,44.18,43.38,40.93,1008.97
68,6.03,44.17,43.37,40.92,1008.97
69,6.12,44.16,43.35,40.93,1008.97
70,6.21,44.14,43.34,40.93,1008.97
71,6.30,44.13,43.33,40.95,1008.97
72,6.39,44.12,43.32,40.93,1008.96
73,6.48,44.12,43.31,40.94,1008.96
74,6.57,44.11,43.30,40.93,1008.96
75,6.66,44.10,43.29,40.95,1008.96
76,6.75,44.09,43.27,40.95,1008.96
77,6.84,44.08,43.26,40.95,1008.96
78,6.93,44.08,43.25,40.94,1008.96
79,7.02,44.06,43.25,40.95,1008.95
80,7.11,44.05,43.22,40.94,1008.95
81,7.20,44.04,43.20,40.92,1008.95
82,7.29,44.04,43.19,40.92,1008.96
83,7.38,44.02,43.17,40.91,1008.95
84,7.47,44.01,43.16,40.93,1008.95
85,7.56,44.00,43.16,40.94,1008.95
86,7.65,44.00,43.15,40.92,1008.95
87,7.74,43.98,43.14,40.90,1008.95
88,7.83,43.97,43.14,40.89,1008.95
89,7.92,43.95,43.14,40.91,1008.96
90,8.01,43.94,43.13,40.92,1008.96
91,8.10,43.93,43.12,40.92,1008.96
92,8.19,43.91,43.08,40.90,1008.96
93,8.28,43.88,43.07,40.87,1008.96
94,8.37,43.87,43.06,40.89,1008.96
95,8.46,43.87,43.05,40.87,1008.96
96,8.55,43.85,43.03,40.88,1008.96
97,8.64,43.85,43.02,40.89,1008.97
98,8.73,43.84,43.01,40.90,1008.96
99,8.82,43.83,43.00,40.90,1008.96
100,8.91,43.83,42.99,40.86,1008.96
101,9.00,43.81,42.96,40.89,1008.96
102,9.09,43.81,42.95,40.90,1008.96
103,9.18,43.80,42.93,40.92,1008.96
104,9.27,43.78,42.93,40.92,1008.96
105,9.36,43.77,42.93,40.93,1008.96
106,9.45,43.76,42.92,40.94,1008.96
107,9.54,43.75,42.89,40.95,1008.96
108,9.63,43.74,42.88,40.97,1008.96
109,9.72,43.74,42.87,40.97,1008.96
110,9.81,43.73,42.85,40.98,1008.96
111,9.90,43.72,42.84,41.00,1008.96
112,9.99,43.71,42.83,40.99,1008.96
113,10.08,43.69,42.82,40.98,1008.96
114,10.17,43.67,42.81,40.99,1008.96
115,10.26,43.65,42.80,40.98,1008.97
116,10.35,43.63,42.79,40.98,1008.97
117,10.44,43.63,42.78,41.00,1008.96
118,10.53,43.61,42.77,41.01,1008.96
119,10.62,43.60,42.75,41.02,1008.97
120,10.71,43.60,42.75,41.03,1008.97
121,10.80,43.59,42.74,41.03,1008.97
122,10.89,43.58,42.74,41.03,1008.97
123,10.98,43.56,42.73,41.01,1008.97
124,11.07,43.55,42.73,41.01,1008.97
125,11.16,43.54,42.73,41.01,1008.97
126,11.25,43.53,42.72,41.01,1008.97
127,11.34,43.52,42.71,40.98,1008.97
128,11.43,43.50,42.70,40.99,1008.96
129,11.52,43.49,42.68,41.01,1008.96
130,11.61,43.47,42.66,41.00,1008.96
131,11.70,43.46,42.65,41.00,1008.96
132,11.79,43.45,42.64,41.02,1008.96
133,11.88,43.44,42.62,41.02,1008.96
134,11.97,43.43,42.62,41.01,1008.96
135,12.06,43.41,42.61,41.01,1008.96
136,12.15,43.39,42.62,41.01,1008.96
137,12.24,43.39,42.60,40.99,1008.96
138,12.33,43.38,42.59,40.99,1008.96
139,12.42,43.36,42.57,41.02,1008.96
140,12.51,43.36,42.56,41.03,1008.96
141,12.60,43.36,42.56,41.01,1008.96
142,12.69,43.34,42.54,41.01,1008.96
143,12.78,43.33,42.53,40.99,1008.96
144,12.87,43.33,42.52,40.97,1008.96
145,12.96,43.33,42.51,40.98,1008.96
146,13.05,43.32,42.51,41.00,1008.96
147,13.14,43.31,42.48,41.00,1008.96
148,13.23,43.29,42.47,41.00,1008.96
