Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.15,43.20,1008.33
2,0.09,44.97,42.90,43.20,1008.34
3,0.18,44.93,42.88,43.20,1008.33
4,0.27,44.90,42.84,43.22,1008.33
5,0.36,44.86,42.81,43.22,1008.32
6,0.45,44.84,42.77,43.25,1008.32
7,0.54,44.81,42.72,43.24,1008.31
8,0.63,44.76,42.69,43.23,1008.29
9,0.72,44.75,42.66,43.22,1008.29
10,0.81,44.72,42.62,43.22,1008.29
11,0.90,44.69,42.59,43.23,1008.29
12,0.99,44.66,42.58,43.24,1008.30
13,1.08,44.63,42.56,43.29,1008.29
14,1.17,44.60,42.53,43.29,1008.29
15,1.26,44.56,42.49,43.29,1008.29
16,1.35,44.51,42.46,43.32,1008.28
17,1.44,44.46,42.42,43.33,1008.28
18,1.53,44.42,42.41,43.34,1008.27
19,1.62,44.37,42.38,43.37,1008.28
20,1.71,44.33,42.34,43.36,1008.28
21,1.80,44.30,42.32,43.37,1008.28
22,1.89,44.26,42.28,43.37,1008.28
23,1.98,44.24,42.24,43.42,1008.29
24,2.07,44.19,42.22,43.42,1008.30
25,2.16,44.15,42.17,43.43,1008.30
26,2.25,44.11,42.13,43.46,1008.30
27,2.34,44.07,42.10,43.46,1008.31
28,2.43,44.05,42.06,43.47,1008.32
29,2.52,44.01,42.04,43.45,1008.31
30,2.61,43.98,42.00,43.47,1008.31
31,2.70,43.95,41.97,43.48,1008.33
32,2.79,43.89,41.94,43.51,1008.33
33,2.88,43.84,41.91,43.49,1008.33
34,2.97,43.80,41.87,43.51,1008.33
35,3.06,43.78,41.84,43.50,1008.34
36,3.15,43.74,41.79,43.53,1008.35
37,3.24,43.70,41.75,43.54,1008.35
38,3.33,43.68,41.71,43.57,1008.36
39,3.42,43.65,41.68,43.61,1008.36
40,3.51,43.61,41.63,43.60,1008.38
41,3.60,43.54,41.57,43.62,1008.37
42,3.69,43.49,41.56,43.63,1008.37
43,3.78,43.44,41.53,43.62,1008.37
44,3.87,43.41,41.48,43.62,1008.37
45,3.96,43.38,41.45,43.61,1008.37
46,4.05,43.36,41.41,43.60,1008.38
47,4.14,43.30,41.39,43.63,1008.39
48,4.23,43.25,41.35,43.63,1008.39
49,4.32,43.21,41.31,43.69,1008.37
50,4.41,43.19,41.29,43.74,1008.37
51,4.50,43.17,41.26,43.73,1008.37
52,4.59,43.13,41.25,43.76,1008.37
53,4.68,43.10,41.19,43.78,1008.38
54,4.77,43.08,41.15,43.81,1008.37
55,4.86,43.04,41.11,43.81,1008.36
56,4.95,43.01,41.08,43.82,1008.36
57,5.04,42.97,41.04,43.82,1008.34
58,5.13,42.93,41.00,43.81,1008.34
59,5.22,42.90,40.96,43.81,1008.33
60,5.31,42.87,40.91,43.82,1008.31
61,5.40,42.83,40.88,43.82,1008.31
62,5.49,42.80,40.86,43.84,1008.31
63,5.58,42.77,40.81,43.86,1008.29
64,5.67,42.72,40.78,43.89,1008.28
65,5.76,42.67,40.75,43.95,1008.27
66,5.85,42.62,40.73,43.97,1008.27
67,5.94,42.60,40.71,43.98,1008.26
68,6.03,42.56,40.68,43.97,1008.27
69,6.12,42.53,40.63,44.00,1008.26
70,6.21,42.51,40.61,44.00,1008.25
71,6.30,42.47,40.56,44.02,1008.25
72,6.39,42.44,40.53,44.04,1008.24
73,6.48,42.42,40.50,44.08,1008.23
74,6.57,42.39,40.48,44.12,1008.23
75,6.66,42.37,40.45,44.14,1008.23
76,6.75,42.35,40.42,44.14,1008.25
77,6.84,42.31,40.40,44.17,1008.25
78,6.93,42.29,40.37,44.24,1008.25
79,7.02,42.27,40.32,44.27,1008.26
80,7.11,42.25,40.30,44.28,1008.25
81,7.20,42.20,40.27,44.26,1008.25
82,7.29,42.18,40.24,44.28,1008.25
83,7.38,42.14,40.21,44.31,1008.26
84,7.47,42.13,40.20,44.32,1008.26
85,7.56,42.10,40.17,44.79,1008.27
86,7.65,42.10,40.14,44.35,1008.28
87,7.74,42.07,40.12,44.36,1008.29
88,7.83,42.04,40.11,44.37,1008.29
89,7.92,42.01,40.07,44.41,1008.31
90,8.01,41.97,40.05,44.39,1008.30
91,8.10,41.93,40.04,44.42,1008.31
92,8.19,41.89,40.00,44.45,1008.32
93,8.28,41.88,39.97,44.45,1008.32
94,8.37,41.85,39.96,44.42,1008.31
95,8.46,41.83,39.93,44.43,1008.31
96,8.55,41.79,39.90,44.46,1008.33
97,8.64,41.78,39.88,44.49,1008.34
98,8.73,41.73,39.87,44.48,1008.35
99,8.82,41.70,39.85,44.53,1008.36
100,8.91,41.67,39.82,44.57,1008.36
101,9.00,41.63,39.80,44.60,1008.38
102,9.09,41.58,39.78,44.58,1008.38
103,9.18,41.54,39.74,44.61,1008.38
104,9.27,41.52,39.71,44.59,1008.37
105,9.36,41.48,39.69,44.60,1008.38
106,9.45,41.45,39.66,44.62,1008.38
107,9.54,41.42,39.64,44.62,1008.39
108,9.63,41.38,39.59,44.63,1008.39
109,9.72,41.35,39.57,44.64,1008.41
110,9.81,41.32,39.55,44.65,1008.40
111,9.90,41.31,39.52,44.62,1008.39
112,9.99,41.27,39.50,44.63,1008.38
113,10.08,41.24,39.46,44.66,1008.37
114,10.17,41.21,39.43,44.70,1008.36
115,10.26,41.16,39.42,44.68,1008.35
116,10.35,41.12,39.38,44.72,1008.34
117,10.44,41.09,39.34,44.72,1008.32
118,10.53,41.06,39.32,44.70,1008.33
119,10.62,41.02,39.32,44.70,1008.32
120,10.71,40.99,39.29,44.71,1008.31
121,10.80,40.96,39.25,44.75,1008.30
122,10.89,40.93,39.22,44.72,1008.29
123,10.98,40.88,39.19,44.76,1008.29
124,11.07,40.86,39.16,44.80,1008.30
125,11.16,40.83,39.13,44.84,1008.29
126,11.25,40.80,39.09,44.82,1008.30
127,11.34,40.77,39.07,44.85,1008.31
128,11.43,40.73,39.05,44.86,1008.29
129,11.52,40.72,39.03,44.84,1008.29
130,11.61,40.69,38.99,44.84,1008.27
131,11.70,40.68,38.97,44.84,1008.26
132,11.79,40.66,38.92,44.88,1008.25
133,11.88,40.64,38.89,44.90,1008.25
134,11.97,40.60,38.88,44.90,1008.24
135,12.06,40.57,38.83,44.89,1008.24
136,12.15,40.54,38.79,44.88,1008.25
137,12.24,40.51,38.77,44.88,1008.24
138,12.33,40.46,38.73,44.89,1008.23
139,12.42,40.44,38.70,44.88,1008.23
140,12.51,40.41,38.66,44.93,1008.24
141,12.60,40.38,38.63,44.94,1008.25
142,12.69,40.34,38.59,44.91,1008.26
143,12.78,40.30,38.56,44.95,1008.25
144,12.87,40.28,38.53,44.92,1008.26
145,12.96,40.23,38.49,44.94,1008.27
146,13.05,40.19,38.47,44.91,1008.27
147,13.14,40.17,38.47,44.90,1008.27
148,13.23,40.13,38.43,44.92,1008.27
149,13.32,40.09,38.40,44.91,1008.28
150,13.41,40.08,38.38,44.93,1008.30
151,13.50,40.05,38.34,44.93,1008.30
152,13.59,40.03,38.29,44.96,1008.29
153,13.68,40.00,38.26,44.95,1008.30
154,13.77,39.96,38.23,44.96,1008.32
155,13.86,39.94,38.22,44.95,1008.31
156,13.95,39.90,38.20,44.97,1008.32
157,14.04,39.89,38.20,45.00,1008.32
