Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.90,42.65,1008.86
2,0.09,44.99,43.69,42.66,1008.86
3,0.18,44.98,43.67,42.66,1008.87
4,0.27,44.96,43.64,42.67,1008.86
5,0.36,44.94,43.63,42.70,1008.86
6,0.45,44.93,43.62,42.71,1008.86
7,0.54,44.91,43.60,42.73,1008.86
8,0.63,44.89,43.58,42.75,1008.86
9,0.72,44.87,43.56,42.77,1008.86
10,0.81,44.85,43.55,42.76,1008.86
11,0.90,44.84,43.54,42.77,1008.86
12,0.99,44.82,43.51,42.78,1008.86
13,1.08,44.81,43.50,42.79,1008.86
14,1.17,44.79,43.49,42.79,1008.86
15,1.26,44.77,43.47,42.79,1008.87
16,1.35,44.75,43.46,42.80,1008.87
17,1.44,44.73,43.44,42.81,1008.87
18,1.53,44.72,43.43,42.82,1008.87
19,1.62,44.70,43.41,42.82,1008.87
20,1.71,44.68,43.39,42.84,1008.87
21,1.80,44.66,43.37,42.86,1008.87
22,1.89,44.65,43.36,42.84,1008.87
23,1.98,44.63,43.35,42.86,1008.87
24,2.07,44.61,43.33,42.86,1008.87
25,2.16,44.59,43.31,42.87,1008.87
26,2.25,44.57,43.29,42.90,1008.87
27,2.34,44.55,43.27,42.92,1008.87
28,2.43,44.54,43.25,42.94,1008.87
29,2.52,44.52,43.24,42.95,1008.87
30,2.61,44.50,43.22,42.97,1008.87
31,2.70,44.48,43.20,42.97,1008.87
32,2.79,44.46,43.18,42.98,1008.87
33,2.88,44.44,43.17,42.99,1008.87
34,2.97,44.42,43.15,43.00,1008.87
35,3.06,44.40,43.14,43.00,1008.87
36,3.15,44.38,43.12,43.00,1008.87
37,3.24,44.37,43.11,43.02,1008.87
38,3.33,44.36,43.09,43.01,1008.87
39,3.42,44.34,43.07,43.02,1008.88
40,3.51,44.32,43.05,43.04,1008.88
41,3.60,44.31,43.04,43.04,1008.88
42,3.69,44.30,43.02,43.06,1008.88
43,3.78,44.28,43.01,43.07,1008.88
44,3.87,44.26,42.99,43.08,1008.88
45,3.96,44.25,42.97,43.09,1008.88
46,4.05,44.23,42.96,43.09,1008.88
47,4.14,44.21,42.94,43.09,1008.88
48,4.23,44.20,42.92,43.11,1008.88
49,4.32,44.18,42.90,43.12,1008.87
50,4.41,44.17,42.89,43.13,1008.87
51,4.50,44.15,42.88,43.15,1008.87
52,4.59,44.13,42.86,43.17,1008.87
53,4.68,44.11,42.85,43.18,1008.87
54,4.77,44.10,42.84,43.18,1008.87
55,4.86,44.08,42.83,43.19,1008.87
56,4.95,44.07,42.81,43.20,1008.87
57,5.04,44.05,42.79,43.20,1008.87
58,5.13,44.04,42.77,43.22,1008.87
59,5.22,44.02,42.77,43.23,1008.86
60,5.31,44.00,42.75,43.24,1008.86
61,5.40,43.98,42.74,43.24,1008.86
62,5.49,43.96,42.72,43.26,1008.86
63,5.58,43.95,42.70,43.27,1008.86
64,5.67,43.93,42.68,43.30,1008.86
65,5.76,43.91,42.68,43.30,1008.86
66,5.85,43.90,42.66,43.30,1008.86
67,5.94,43.89,42.64,43.31,1008.86
68,6.03,43.87,42.63,43.34,1008.86
69,6.12,43.86,42.61,43.36,1008.86
70,6.21,43.85,42.59,43.37,1008.86
71,6.30,43.83,42.57,43.39,1008.86
72,6.39,43.81,42.55,43.40,1008.86
73,6.48,43.79,42.53,43.43,1008.86
74,6.57,43.78,42.52,43.45,1008.86
75,6.66,43.76,42.50,43.43,1008.86
76,6.75,43.75,42.49,43.44,1008.86
77,6.84,43.73,42.48,43.46,1008.86
78,6.93,43.72,42.47,43.49,1008.86
79,7.02,43.71,42.45,43.50,1008.86
80,7.11,43.70,42.43,43.49,1008.86
81,7.20,43.68,42.43,43.54,1008.85
82,7.29,43.67,42.41,43.55,1008.86
83,7.38,43.66,42.39,43.56,1008.85
84,7.47,43.65,42.37,43.55,1008.86
85,7.56,43.64,42.36,43.54,1008.85
86,7.65,43.63,42.35,43.54,1008.85
87,7.74,43.62,42.34,43.55,1008.86
88,7.83,43.60,42.32,43.55,1008.86
89,7.92,43.59,42.31,43.55,1008.86
90,8.01,43.58,42.29,43.55,1008.86
91,8.10,43.56,42.28,43.57,1008.86
92,8.19,43.55,42.27,43.56,1008.86
93,8.28,43.53,42.25,43.57,1008.86
94,8.37,43.52,42.23,43.58,1008.86
95,8.46,43.49,42.21,43.62,1008.86
96,8.55,43.47,42.19,43.63,1008.86
97,8.64,43.46,42.17,43.65,1008.86
98,8.73,43.44,42.16,43.68,1008.86
99,8.82,43.42,42.15,43.69,1008.86
100,8.91,43.40,42.14,43.68,1008.86
101,9.00,43.38,42.12,43.67,1008.87
102,9.09,43.36,42.10,43.68,1008.87
103,9.18,43.35,42.08,43.69,1008.87
104,9.27,43.33,42.07,43.71,1008.88
105,9.36,43.31,42.05,43.72,1008.88
106,9.45,43.28,42.05,43.74,1008.88
107,9.54,43.27,42.03,43.72,1008.88
108,9.63,43.25,42.02,43.74,1008.88
109,9.72,43.24,42.01,43.76,1008.88
110,9.81,43.22,41.99,43.77,1008.88
111,9.90,43.21,41.98,43.79,1008.88
112,9.99,43.19,41.96,43.82,1008.88
113,10.08,43.18,41.95,43.82,1008.88
114,10.17,43.17,41.93,43.84,1008.88
115,10.26,43.15,41.92,43.86,1008.88
116,10.35,43.13,41.91,43.86,1008.88
117,10.44,43.12,41.90,43.87,1008.88
118,10.53,43.10,41.89,43.85,1008.88
119,10.62,43.08,41.87,43.89,1008.88
120,10.71,43.07,41.86,43.90,1008.88
121,10.80,43.05,41.85,43.89,1008.88
122,10.89,43.04,41.83,43.89,1008.88
123,10.98,43.02,41.82,43.90,1008.88
124,11.07,43.01,41.80,43.93,1008.87
125,11.16,42.99,41.79,43.94,1008.87
126,11.25,42.97,41.78,43.95,1008.87
127,11.34,42.96,41.77,43.95,1008.87
128,11.43,42.95,41.75,43.97,1008.87
129,11.52,42.94,41.74,43.98,1008.87
130,11.61,42.92,41.73,44.00,1008.86
131,11.70,42.90,41.72,44.00,1008.86
132,11.79,42.88,41.70,44.01,1008.86
133,11.88,42.86,41.69,44.00,1008.86
134,11.97,42.84,41.68,44.00,1008.86
135,12.06,42.82,41.66,44.02,1008.86
136,12.15,42.80,41.64,44.04,1008.86
137,12.24,42.78,41.63,44.04,1008.86
138,12.33,42.77,41.61,44.06,1008.86
139,12.42,42.75,41.59,44.07,1008.86
140,12.51,42.74,41.57,44.07,1008.86
141,12.60,42.71,41.56,44.09,1008.86
142,12.69,42.71,41.54,44.09,1008.86
143,12.78,42.70,41.53,44.11,1008.85
144,12.87,42.68,41.52,44.13,1008.85
145,12.96,42.67,41.51,44.15,1008.86
146,13.05,42.65,41.49,44.14,1008.86
147,13.14,42.64,41.47,44.15,1008.85
148,13.23,42.63,41.45,44.16,1008.85
149,13.32,42.62,41.43,44.17,1008.85
150,13.41,42.61,41.42,44.18,1008.85
151,13.50,42.60,41.40,44.19,1008.85
152,13.59,42.58,41.39,44.19,1008.86
153,13.68,42.57,41.37,44.20,1008.86
154,13.77,42.55,41.36,44.19,1008.86
155,13.86,42.55,41.34,44.21,1008.86
156,13.95,42.53,41.33,44.23,1008.86
157,14.04,42.51,41.32,44.24,1008.86
158,14.13,42.50,41.30,44.28,1008.86
159,14.22,42.48,41.28,44.29,1008.87
160,14.31,42.47,41.27,44.31,1008.87
161,14.40,42.46,41.25,44.30,1008.87
162,14.49,42.44,41.23,44.34,1008.87
163,14.58,42.43,41.22,44.34,1008.87
164,14.67,42.41,41.21,44.37,1008.88
165,14.76,42.39,41.20,44.39,1008.88
166,14.85,42.38,41.19,44.40,1008.88
167,14.94,42.36,41.17,44.43,1008.88
168,15.03,42.35,41.17,44.42,1008.88
169,15.12,42.33,41.16,44.44,1008.88
170,15.21,42.32,41.14,44.47,1008.89
171,15.30,42.30,41.13,44.48,1008.89
172,15.39,42.28,41.13,44.48,1008.88
173,15.48,42.27,41.11,44.48,1008.89
174,15.57,42.26,41.09,44.49,1008.89
175,15.66,42.24,41.08,44.50,1008.89
176,15.75,42.23,41.06,44.50,1008.88
177,15.84,42.22,41.05,44.50,1008.89
178,15.93,42.21,41.04,44.51,1008.89
179,16.02,42.18,41.03,44.53,1008.88
180,16.11,42.17,41.01,44.53,1008.88
181,16.20,42.16,41.00,44.55,1008.89
182,16.29,42.14,40.99,44.53,1008.88
183,16.38,42.12,40.98,44.53,1008.88
184,16.47,42.10,40.96,44.53,1008.88
185,16.56,42.09,40.94,44.54,1008.88
186,16.65,42.06,40.93,44.56,1008.88
187,16.74,42.05,40.91,44.54,1008.88
188,16.83,42.03,40.89,44.54,1008.88
189,16.92,42.02,40.88,44.54,1008.88
190,17.01,42.01,40.87,44.53,1008.88
191,17.10,42.00,40.86,44.52,1008.88
192,17.19,41.99,40.85,44.53,1008.88
193,17.28,41.97,40.84,44.53,1008.87
194,17.37,41.96,40.82,44.54,1008.88
195,17.46,41.94,40.81,44.55,1008.88
196,17.55,41.93,40.79,44.56,1008.87
197,17.64,41.92,40.77,44.57,1008.87
198,17.73,41.90,40.76,44.57,1008.87
199,17.82,41.89,40.75,44.59,1008.87
200,17.91,41.88,40.74,44.60,1008.87
201,18.00,41.87,40.73,44.62,1008.87
202,18.09,41.86,40.71,44.63,1008.87
203,18.18,41.84,40.69,44.64,1008.87
204,18.27,41.83,40.68,44.65,1008.87
205,18.36,41.81,40.67,44.66,1008.87
206,18.45,41.79,40.65,44.66,1008.86
207,18.54,41.77,40.64,44.68,1008.86
208,18.63,41.75,40.63,44.69,1008.86
209,18.72,41.74,40.62,44.69,1008.86
210,18.81,41.73,40.61,44.69,1008.86
211,18.90,41.71,40.60,44.69,1008.86
212,18.99,41.70,40.58,44.68,1008.86
213,19.08,41.68,40.57,44.69,1008.86
214,19.17,41.67,40.55,44.70,1008.86
215,19.26,41.66,40.54,44.70,1008.86
216,19.35,41.65,40.52,44.69,1008.86
217,19.44,41.64,40.51,44.71,1008.86
218,19.53,41.62,40.49,44.71,1008.86
219,19.62,41.61,40.48,44.74,1008.86
220,19.71,41.60,40.47,44.75,1008.86
221,19.80,41.58,40.46,44.75,1008.86
222,19.89,41.57,40.45,44.76,1008.86
223,19.98,41.56,40.44,44.78,1008.86
224,20.07,41.54,40.42,44.80,1008.86
225,20.16,41.52,40.41,44.79,1008.86
226,20.25,41.51,40.40,44.80,1008.87
227,20.34,41.50,40.39,44.79,1008.87
228,20.43,41.49,40.37,44.79,1008.87
229,20.52,41.48,40.36,44.81,1008.87
230,20.61,41.47,40.34,44.82,1008.87
231,20.70,41.45,40.33,44.82,1008.87
232,20.79,41.44,40.31,44.81,1008.87
233,20.88,41.42,40.29,44.81,1008.87
234,20.97,41.41,40.28,44.82,1008.87
235,21.06,41.40,40.27,44.82,1008.87
236,21.15,41.45,40.25,44.82,1008.87
237,21.24,41.37,40.24,44.82,1008.88
238,21.33,41.37,40.23,44.83,1008.88
239,21.42,41.34,40.21,44.82,1008.88
240,21.51,41.33,40.20,44.81,1008.87
241,21.60,41.32,40.18,44.82,1008.87
242,21.69,41.30,40.17,44.85,1008.87
243,21.78,41.29,40.16,44.85,1008.88
244,21.87,41.27,40.14,44.86,1008.88
245,21.96,41.26,40.13,44.87,1008.88
246,22.05,41.24,40.13,44.86,1008.88
247,22.14,41.23,40.11,44.84,1008.88
248,22.23,41.22,40.10,44.85,1008.88
249,22.32,41.21,40.09,44.88,1008.88
250,22.41,41.20,40.08,44.86,1008.88
251,22.50,41.18,40.07,44.89,1008.88
252,22.59,41.17,40.06,44.90,1008.88
253,22.68,41.15,40.04,44.92,1008.88
254,22.77,41.14,40.03,44.93,1008.88
255,22.86,41.13,40.02,44.94,1008.88
256,22.95,41.11,40.02,44.94,1008.88
257,23.04,41.11,40.01,44.96,1008.88
258,23.13,41.10,40.00,44.95,1008.88
259,23.22,41.08,39.98,44.96,1008.88
260,23.31,41.07,39.97,44.95,1008.88
261,23.40,41.06,39.95,44.96,1008.88
262,23.49,41.04,39.93,44.96,1008.88
263,23.58,41.03,39.91,44.99,1008.88
264,23.67,41.01,39.90,44.99,1008.88
265,23.76,41.00,39.90,45.00,1008.88
266,23.85,41.00,39.87,45.01,1008.88
267,23.94,40.98,39.87,45.01,1008.88
268,24.03,40.96,39.86,45.01,1008.88
269,24.12,40.95,39.84,45.03,1008.88
270,24.21,41.01,39.83,45.05,1008.88
271,24.30,40.91,39.82,45.05,1008.88
272,24.39,40.90,39.81,45.03,1008.88
273,24.48,40.89,39.79,45.04,1008.88
274,24.57,40.88,39.78,45.03,1008.88
275,24.66,40.87,39.77,45.03,1008.88
276,24.75,40.86,39.76,45.04,1008.88
277,24.84,40.84,39.75,45.07,1008.88
278,24.93,40.82,39.74,45.07,1008.88
279,25.02,40.82,39.72,45.09,1008.88
280,25.11,40.80,39.71,45.09,1008.88
281,25.20,40.79,39.70,45.09,1008.88
282,25.29,40.78,39.68,45.10,1008.88
283,25.38,40.77,39.66,45.10,1008.88
284,25.47,40.75,39.65,45.11,1008.88
285,25.56,40.73,39.64,45.13,1008.88
286,25.65,40.72,39.62,45.14,1008.88
287,25.74,40.72,39.61,45.14,1008.88
288,25.83,40.70,39.59,45.16,1008.88
289,25.92,40.69,39.58,45.19,1008.88
290,26.01,40.67,39.57,45.21,1008.88
