Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.97,41.66,1008.86
2,0.09,44.99,43.95,41.67,1008.86
3,0.18,44.98,43.94,41.69,1008.86
4,0.27,44.98,43.92,41.67,1008.86
5,0.36,44.96,43.91,41.68,1008.85
6,0.45,44.95,43.90,41.67,1008.85
7,0.54,44.94,43.89,41.69,1008.85
8,0.63,44.93,43.88,41.69,1008.86
9,0.72,44.92,43.87,41.69,1008.85
10,0.81,44.92,43.86,41.70,1008.85
11,0.90,44.90,43.85,41.70,1008.85
12,0.99,44.89,43.84,41.69,1008.85
13,1.08,44.89,43.84,41.69,1008.86
14,1.17,44.88,43.83,41.70,1008.86
15,1.26,44.86,43.82,41.70,1008.86
16,1.35,44.84,43.81,41.71,1008.86
17,1.44,44.83,43.80,41.70,1008.86
18,1.53,44.82,43.79,41.70,1008.86
19,1.62,44.81,43.78,41.70,1008.86
20,1.71,44.80,43.77,41.71,1008.86
21,1.80,44.79,43.76,41.71,1008.86
22,1.89,44.78,43.74,41.70,1008.86
23,1.98,44.77,43.73,41.70,1008.86
24,2.07,44.76,43.72,41.71,1008.86
25,2.16,44.76,43.72,41.70,1008.86
26,2.25,44.74,43.70,41.71,1008.86
27,2.34,44.73,43.69,41.70,1008.86
28,2.43,44.71,43.68,41.70,1008.87
29,2.52,44.70,43.67,41.70,1008.87
30,2.61,44.69,43.66,41.70,1008.87
31,2.70,44.68,43.65,41.69,1008.87
32,2.79,44.68,43.64,41.69,1008.87
33,2.88,44.67,43.63,41.68,1008.87
34,2.97,44.66,43.61,41.68,1008.87
35,3.06,44.64,43.61,41.69,1008.86
36,3.15,44.63,43.60,41.69,1008.86
37,3.24,44.62,43.59,41.70,1008.86
38,3.33,44.61,43.58,41.69,1008.86
39,3.42,44.59,43.57,41.69,1008.86
40,3.51,44.58,43.56,41.70,1008.86
41,3.60,44.57,43.56,41.71,1008.86
42,3.69,44.56,43.55,41.69,1008.86
43,3.78,44.55,43.54,41.69,1008.86
44,3.87,44.54,43.54,41.69,1008.86
45,3.96,44.53,43.53,41.70,1008.86
46,4.05,44.51,43.51,41.70,1008.86
47,4.14,44.50,43.50,41.69,1008.86
48,4.23,44.50,43.49,41.70,1008.86
49,4.32,44.48,43.48,41.69,1008.86
50,4.41,44.47,43.47,41.70,1008.87
51,4.50,44.47,43.46,41.70,1008.87
52,4.59,44.46,43.44,41.70,1008.87
53,4.68,44.44,43.43,41.70,1008.87
54,4.77,44.43,43.43,41.70,1008.87
55,4.86,44.42,43.42,41.71,1008.87
56,4.95,44.41,43.41,41.70,1008.87
57,5.04,44.39,43.40,41.70,1008.87
58,5.13,44.39,43.40,41.70,1008.87
59,5.22,44.38,43.39,41.70,1008.87
60,5.31,44.37,43.38,41.71,1008.87
61,5.40,44.36,43.37,41.71,1008.87
62,5.49,44.35,43.36,41.70,1008.87
63,5.58,44.34,43.36,41.70,1008.88
64,5.67,44.33,43.35,41.72,1008.87
65,5.76,44.31,43.34,41.71,1008.88
66,5.85,44.30,43.32,41.72,1008.87
67,5.94,44.29,43.31,41.72,1008.88
68,6.03,44.28,43.30,41.73,1008.88
69,6.12,44.27,43.29,41.71,1008.88
70,6.21,44.26,43.28,41.71,1008.88
71,6.30,44.24,43.28,41.69,1008.88
72,6.39,44.23,43.26,41.69,1008.88
73,6.48,44.22,43.25,41.68,1008.88
74,6.57,44.21,43.25,41.67,1008.87
75,6.66,44.20,43.24,41.68,1008.88
76,6.75,44.19,43.22,41.66,1008.87
77,6.84,44.17,43.21,41.66,1008.87
78,6.93,44.16,43.19,41.67,1008.87
79,7.02,44.16,43.19,41.68,1008.87
80,7.11,44.15,43.18,41.68,1008.87
81,7.20,44.13,43.18,41.68,1008.87
82,7.29,44.12,43.17,41.68,1008.87
83,7.38,44.11,43.16,41.69,1008.87
84,7.47,44.10,43.15,41.71,1008.87
85,7.56,44.09,43.14,41.72,1008.87
86,7.65,44.07,43.12,41.74,1008.87
87,7.74,44.06,43.10,41.73,1008.87
88,7.83,44.05,43.10,41.74,1008.86
89,7.92,44.05,43.09,41.74,1008.86
90,8.01,44.04,43.08,41.74,1008.86
91,8.10,44.02,43.06,41.74,1008.86
92,8.19,44.01,43.05,41.76,1008.86
93,8.28,44.00,43.05,41.76,1008.86
94,8.37,43.99,43.03,41.75,1008.86
95,8.46,43.98,43.01,41.74,1008.86
96,8.55,43.97,43.00,41.75,1008.86
97,8.64,43.96,42.99,41.73,1008.86
98,8.73,43.95,42.98,41.72,1008.86
99,8.82,43.94,42.97,41.72,1008.87
100,8.91,43.94,42.96,41.71,1008.87
101,9.00,43.92,42.94,41.70,1008.87
102,9.09,43.92,42.93,41.70,1008.87
103,9.18,43.91,42.92,41.69,1008.87
104,9.27,43.90,42.91,41.69,1008.88
105,9.36,43.89,42.90,41.69,1008.88
106,9.45,43.87,42.89,41.68,1008.88
107,9.54,43.86,42.88,41.69,1008.88
108,9.63,43.85,42.87,41.69,1008.88
