Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.61,41.30,1008.79
2,0.09,44.99,43.63,41.31,1008.79
3,0.18,44.97,43.62,41.29,1008.80
4,0.27,44.96,43.60,41.32,1008.80
5,0.36,44.95,43.58,41.29,1008.81
6,0.45,44.93,43.56,41.28,1008.82
7,0.54,44.92,43.54,41.28,1008.82
8,0.63,44.90,43.54,41.30,1008.81
9,0.72,44.88,43.53,41.30,1008.80
10,0.81,44.87,43.51,41.31,1008.80
11,0.90,44.85,43.49,41.31,1008.81
12,0.99,44.84,43.46,41.29,1008.81
13,1.08,44.83,43.43,41.29,1008.81
14,1.17,44.82,43.41,41.29,1008.81
15,1.26,44.81,43.39,41.30,1008.82
16,1.35,44.79,43.39,41.31,1008.81
17,1.44,44.76,43.36,41.31,1008.81
18,1.53,44.74,43.35,41.28,1008.81
19,1.62,44.72,43.32,41.31,1008.82
20,1.71,44.71,43.30,41.30,1008.82
21,1.80,44.68,43.27,41.29,1008.81
22,1.89,44.67,43.27,41.27,1008.82
23,1.98,44.65,43.25,41.31,1008.83
24,2.07,44.62,43.25,41.29,1008.83
25,2.16,44.62,43.24,41.30,1008.83
26,2.25,44.59,43.23,41.31,1008.83
27,2.34,44.58,43.21,41.32,1008.83
28,2.43,44.55,43.20,41.33,1008.83
29,2.52,44.53,43.17,41.36,1008.84
30,2.61,44.51,43.15,41.38,1008.83
31,2.70,44.49,43.15,41.35,1008.83
32,2.79,44.47,43.14,41.35,1008.84
33,2.88,44.45,43.10,41.34,1008.83
34,2.97,44.45,43.08,41.35,1008.83
35,3.06,44.43,43.06,41.36,1008.83
36,3.15,44.42,43.05,41.37,1008.82
37,3.24,44.41,43.04,41.37,1008.83
38,3.33,44.40,43.03,41.35,1008.82
39,3.42,44.38,43.02,41.33,1008.82
40,3.51,44.36,43.00,41.32,1008.82
41,3.60,44.35,42.97,41.31,1008.82
42,3.69,44.32,42.95,41.33,1008.82
43,3.78,44.30,42.93,41.34,1008.82
44,3.87,44.28,42.92,41.33,1008.82
45,3.96,44.27,42.91,41.33,1008.82
46,4.05,44.24,42.91,41.31,1008.82
47,4.14,44.22,42.88,41.33,1008.82
48,4.23,44.20,42.86,41.34,1008.82
49,4.32,44.19,42.84,41.36,1008.82
50,4.41,44.17,42.84,41.39,1008.81
51,4.50,44.15,42.81,41.38,1008.82
52,4.59,44.14,42.80,41.40,1008.82
53,4.68,44.11,42.80,41.38,1008.82
54,4.77,44.09,42.78,41.36,1008.82
55,4.86,44.09,42.75,41.37,1008.81
56,4.95,44.07,42.74,41.39,1008.81
57,5.04,44.05,42.71,41.38,1008.82
58,5.13,44.03,42.69,41.35,1008.81
59,5.22,44.02,42.69,41.36,1008.80
60,5.31,44.01,42.66,41.35,1008.80
61,5.40,43.99,42.64,41.34,1008.79
62,5.49,43.98,42.63,41.32,1008.79
63,5.58,43.97,42.60,41.33,1008.79
64,5.67,43.96,42.59,41.37,1008.79
65,5.76,43.94,42.58,41.37,1008.80
66,5.85,43.94,42.56,41.36,1008.79
67,5.94,43.92,42.55,41.37,1008.79
68,6.03,43.90,42.53,41.39,1008.79
69,6.12,43.89,42.52,41.38,1008.79
70,6.21,43.87,42.51,41.39,1008.80
71,6.30,43.85,42.50,41.41,1008.80
72,6.39,43.85,42.48,41.42,1008.80
73,6.48,43.83,42.46,41.41,1008.80
74,6.57,43.82,42.45,41.42,1008.80
75,6.66,43.79,42.42,41.40,1008.80
76,6.75,43.77,42.42,41.38,1008.81
77,6.84,43.75,42.40,41.36,1008.81
78,6.93,43.74,42.39,41.36,1008.81
79,7.02,43.73,42.40,41.36,1008.81
80,7.11,43.72,42.37,41.35,1008.82
81,7.20,43.71,42.35,41.36,1008.81
82,7.29,43.70,42.35,41.36,1008.81
83,7.38,43.68,42.33,41.38,1008.81
84,7.47,43.66,42.32,41.36,1008.82
85,7.56,43.64,42.30,41.38,1008.82
86,7.65,43.63,42.29,41.37,1008.82
87,7.74,43.62,42.27,41.35,1008.82
88,7.83,43.60,42.27,41.34,1008.82
89,7.92,43.59,42.26,41.34,1008.83
90,8.01,43.57,42.25,41.36,1008.84
91,8.10,43.55,42.26,41.36,1008.85
92,8.19,43.55,42.25,41.33,1008.85
93,8.28,43.54,42.24,41.34,1008.85
94,8.37,43.53,42.21,41.33,1008.85
95,8.46,43.52,42.19,41.36,1008.84
96,8.55,43.50,42.19,41.36,1008.84
97,8.64,43.49,42.16,41.36,1008.85
98,8.73,43.48,42.15,41.36,1008.84
99,8.82,43.46,42.12,41.36,1008.84
100,8.91,43.45,42.12,41.36,1008.84
101,9.00,43.45,42.09,41.35,1008.85
102,9.09,43.44,42.08,41.34,1008.85
103,9.18,43.43,42.08,41.35,1008.85
104,9.27,43.41,42.06,41.38,1008.85
105,9.36,43.40,42.04,41.41,1008.86
106,9.45,43.38,42.03,41.42,1008.86
107,9.54,43.36,42.02,41.43,1008.86
108,9.63,43.34,42.02,41.41,1008.84
109,9.72,43.32,42.01,41.40,1008.84
110,9.81,43.31,42.01,41.45,1008.84
111,9.90,43.28,42.00,41.44,1008.84
112,9.99,43.25,41.99,41.42,1008.84
113,10.08,43.23,41.96,41.40,1008.84
114,10.17,43.21,41.95,41.40,1008.84
115,10.26,43.20,41.93,41.38,1008.84
