Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.70,42.98,1008.88
2,0.09,44.98,43.49,42.98,1008.88
3,0.18,44.97,43.47,42.98,1008.88
4,0.27,44.96,43.47,43.01,1008.88
5,0.36,44.95,43.45,43.01,1008.88
6,0.45,44.93,43.44,43.02,1008.88
7,0.54,44.92,43.43,43.03,1008.88
8,0.63,44.91,43.42,43.05,1008.88
9,0.72,44.90,43.40,43.07,1008.87
10,0.81,44.88,43.40,43.08,1008.87
11,0.90,44.87,43.38,43.08,1008.87
12,0.99,44.86,43.37,43.11,1008.88
13,1.08,44.84,43.36,43.15,1008.87
14,1.17,44.83,43.34,43.17,1008.87
15,1.26,44.82,43.34,43.18,1008.87
16,1.35,44.80,43.32,43.19,1008.88
17,1.44,44.79,43.31,43.19,1008.88
18,1.53,44.78,43.30,43.20,1008.88
19,1.62,44.76,43.29,43.20,1008.88
20,1.71,44.75,43.28,43.20,1008.88
21,1.80,44.74,43.26,43.20,1008.88
22,1.89,44.72,43.26,43.20,1008.88
23,1.98,44.71,43.25,43.22,1008.88
24,2.07,44.70,43.23,43.22,1008.88
25,2.16,44.69,43.22,43.20,1008.88
26,2.25,44.68,43.22,43.20,1008.88
27,2.34,44.66,43.21,43.20,1008.88
28,2.43,44.66,43.19,43.22,1008.89
29,2.52,44.64,43.18,43.22,1008.89
30,2.61,44.62,43.17,43.22,1008.89
31,2.70,44.61,43.16,43.24,1008.89
32,2.79,44.60,43.14,43.23,1008.89
33,2.88,44.59,43.13,43.24,1008.89
34,2.97,44.57,43.12,43.24,1008.89
35,3.06,44.57,43.11,43.23,1008.89
36,3.15,44.55,43.09,43.24,1008.89
37,3.24,44.54,43.08,43.24,1008.89
38,3.33,44.53,43.07,43.25,1008.89
39,3.42,44.52,43.06,43.27,1008.89
40,3.51,44.51,43.05,43.25,1008.89
41,3.60,44.50,43.04,43.26,1008.89
42,3.69,44.49,43.03,43.27,1008.89
43,3.78,44.48,43.01,43.26,1008.89
44,3.87,44.46,43.01,43.28,1008.89
45,3.96,44.45,43.00,43.30,1008.89
46,4.05,44.44,42.98,43.31,1008.89
47,4.14,44.42,42.97,43.29,1008.89
48,4.23,44.41,42.96,43.29,1008.89
49,4.32,44.40,42.95,43.30,1008.89
50,4.41,44.39,42.94,43.29,1008.89
51,4.50,44.37,42.93,43.29,1008.89
52,4.59,44.36,42.91,43.30,1008.89
53,4.68,44.35,42.90,43.31,1008.89
54,4.77,44.34,42.89,43.31,1008.89
55,4.86,44.33,42.88,43.31,1008.89
56,4.95,44.32,42.86,43.33,1008.89
57,5.04,44.30,42.85,43.33,1008.89
58,5.13,44.29,42.83,43.32,1008.89
59,5.22,44.28,42.82,43.31,1008.88
60,5.31,44.27,42.80,43.32,1008.88
61,5.40,44.26,42.79,43.34,1008.88
62,5.49,44.24,42.77,43.33,1008.88
63,5.58,44.24,42.76,43.33,1008.88
64,5.67,44.22,42.75,43.34,1008.88
65,5.76,44.21,42.74,43.36,1008.88
66,5.85,44.20,42.73,43.37,1008.88
67,5.94,44.18,42.73,43.37,1008.88
68,6.03,44.17,42.72,43.36,1008.88
69,6.12,44.16,42.70,43.37,1008.88
70,6.21,44.15,42.69,43.39,1008.88
71,6.30,44.14,42.69,43.41,1008.88
72,6.39,44.13,42.67,43.43,1008.88
73,6.48,44.12,42.67,43.43,1008.88
74,6.57,44.11,42.65,43.44,1008.88
75,6.66,44.09,42.64,43.44,1008.88
76,6.75,44.08,42.62,43.44,1008.88
77,6.84,44.07,42.61,43.44,1008.88
78,6.93,44.06,42.60,43.44,1008.88
79,7.02,44.04,42.59,43.44,1008.89
80,7.11,44.03,42.57,43.43,1008.89
81,7.20,44.01,42.57,43.45,1008.89
82,7.29,44.00,42.56,43.46,1008.89
83,7.38,43.99,42.55,43.47,1008.89
84,7.47,43.98,42.53,43.46,1008.89
85,7.56,43.97,42.51,43.46,1008.89
86,7.65,43.95,42.50,43.48,1008.89
87,7.74,43.93,42.49,43.47,1008.89
88,7.83,43.92,42.47,43.47,1008.88
89,7.92,43.91,42.46,43.48,1008.89
90,8.01,43.90,42.45,43.48,1008.89
91,8.10,43.88,42.45,43.47,1008.89
92,8.19,43.87,42.43,43.47,1008.89
93,8.28,43.86,42.42,43.48,1008.89
94,8.37,43.85,42.42,43.49,1008.89
95,8.46,43.84,42.40,43.51,1008.89
96,8.55,43.82,42.39,43.52,1008.89
97,8.64,43.81,42.37,43.54,1008.89
98,8.73,43.80,42.36,43.54,1008.89
99,8.82,43.79,42.35,43.55,1008.89
100,8.91,43.78,42.34,43.57,1008.89
101,9.00,43.77,42.32,43.59,1008.89
102,9.09,43.75,42.30,43.58,1008.89
103,9.18,43.74,42.29,43.59,1008.89
104,9.27,43.73,42.29,43.60,1008.88
105,9.36,43.72,42.28,43.59,1008.88
106,9.45,43.71,42.27,43.60,1008.88
107,9.54,43.69,42.27,43.60,1008.88
108,9.63,43.68,42.26,43.60,1008.88
109,9.72,43.67,42.25,43.61,1008.88
110,9.81,43.65,42.24,43.61,1008.88
111,9.90,43.64,42.23,43.62,1008.88
112,9.99,43.62,42.22,43.64,1008.88
113,10.08,43.61,42.21,43.64,1008.88
114,10.17,43.60,42.20,43.65,1008.88
115,10.26,43.59,42.18,43.65,1008.88
116,10.35,43.58,42.18,43.65,1008.88
117,10.44,43.56,42.16,43.66,1008.88
118,10.53,43.55,42.16,43.64,1008.88
119,10.62,43.54,42.15,43.66,1008.88
120,10.71,43.53,42.14,43.65,1008.88
121,10.80,43.52,42.13,43.67,1008.89
122,10.89,43.51,42.11,43.67,1008.89
123,10.98,43.50,42.11,43.68,1008.89
124,11.07,43.49,42.10,43.71,1008.89
125,11.16,43.48,42.07,43.72,1008.89
126,11.25,43.47,42.06,43.74,1008.89
127,11.34,43.46,42.05,43.72,1008.89
128,11.43,43.45,42.04,43.71,1008.89
129,11.52,43.43,42.03,43.70,1008.89
130,11.61,43.41,42.02,43.71,1008.89
131,11.70,43.40,42.01,43.73,1008.89
132,11.79,43.40,41.99,43.73,1008.89
133,11.88,43.39,41.98,43.75,1008.89
134,11.97,43.38,41.98,43.76,1008.89
135,12.06,43.37,41.97,43.77,1008.89
136,12.15,43.36,41.97,43.77,1008.89
137,12.24,43.35,41.96,43.75,1008.89
138,12.33,43.33,41.95,43.78,1008.89
139,12.42,43.32,41.93,43.77,1008.89
140,12.51,43.30,41.92,43.79,1008.89
141,12.60,43.29,41.91,43.78,1008.89
142,12.69,43.28,41.90,43.79,1008.90
143,12.78,43.27,41.89,43.82,1008.90
144,12.87,43.26,41.88,43.81,1008.89
145,12.96,43.25,41.87,43.84,1008.90
146,13.05,43.25,41.86,43.81,1008.89
147,13.14,43.23,41.85,43.82,1008.89
148,13.23,43.22,41.83,43.81,1008.89
149,13.32,43.21,41.82,43.85,1008.89
150,13.41,43.20,41.81,43.94,1008.89
151,13.50,43.19,41.80,43.86,1008.89
152,13.59,43.17,41.79,43.88,1008.89
153,13.68,43.16,41.79,43.89,1008.89
154,13.77,43.15,41.78,43.91,1008.89
155,13.86,43.14,41.77,43.89,1008.89
156,13.95,43.13,41.76,43.88,1008.89
157,14.04,43.12,41.75,43.89,1008.88
158,14.13,43.11,41.74,43.89,1008.88
159,14.22,43.10,41.73,43.92,1008.88
160,14.31,43.09,41.72,43.92,1008.88
161,14.40,43.07,41.71,43.92,1008.88
162,14.49,43.07,41.70,43.91,1008.88
163,14.58,43.06,41.68,43.90,1008.88
164,14.67,43.04,41.67,43.89,1008.88
165,14.76,43.03,41.66,43.90,1008.88
166,14.85,43.02,41.65,43.91,1008.88
167,14.94,43.02,41.64,43.92,1008.88
168,15.03,43.01,41.63,43.92,1008.88
169,15.12,43.00,41.62,43.94,1008.88
170,15.21,42.98,41.61,43.96,1008.88
171,15.30,42.97,41.60,43.99,1008.88
172,15.39,42.96,41.60,44.00,1008.88
