Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.38,43.03,1008.71
2,0.09,44.97,43.19,43.03,1008.71
3,0.18,44.96,43.19,43.01,1008.71
4,0.27,44.94,43.15,43.04,1008.71
5,0.36,44.92,43.13,43.03,1008.70
6,0.45,44.90,43.11,43.05,1008.70
7,0.54,44.88,43.10,43.04,1008.70
8,0.63,44.87,43.07,43.06,1008.69
9,0.72,44.85,43.04,43.07,1008.69
10,0.81,44.84,43.02,43.08,1008.69
11,0.90,44.81,42.99,43.07,1008.69
12,0.99,44.79,42.96,43.06,1008.69
13,1.08,44.77,42.94,43.09,1008.69
14,1.17,44.74,42.92,43.09,1008.69
15,1.26,44.72,42.91,43.09,1008.70
16,1.35,44.70,42.90,43.08,1008.69
17,1.44,44.70,42.88,43.08,1008.70
18,1.53,44.68,42.87,43.09,1008.71
19,1.62,44.64,42.85,43.08,1008.71
20,1.71,44.62,42.81,43.06,1008.72
21,1.80,44.60,42.80,43.05,1008.72
22,1.89,44.58,42.79,43.07,1008.72
23,1.98,44.58,42.78,43.07,1008.72
24,2.07,44.55,42.77,43.06,1008.72
25,2.16,44.53,42.76,43.09,1008.72
26,2.25,44.51,42.75,43.11,1008.72
27,2.34,44.50,42.73,43.10,1008.73
28,2.43,44.48,42.70,43.14,1008.73
29,2.52,44.47,42.68,43.16,1008.73
30,2.61,44.46,42.66,43.17,1008.73
31,2.70,44.44,42.63,43.18,1008.74
32,2.79,44.41,42.60,43.17,1008.74
33,2.88,44.39,42.58,43.19,1008.74
34,2.97,44.37,42.56,43.20,1008.74
35,3.06,44.35,42.53,43.19,1008.73
36,3.15,44.33,42.51,43.19,1008.73
37,3.24,44.32,42.49,43.15,1008.73
38,3.33,44.30,42.48,43.18,1008.74
39,3.42,44.27,42.46,43.16,1008.73
40,3.51,44.25,42.44,43.16,1008.73
41,3.60,44.24,42.42,43.17,1008.73
42,3.69,44.22,42.39,43.18,1008.74
43,3.78,44.20,42.37,43.16,1008.74
44,3.87,44.18,42.34,43.17,1008.74
45,3.96,44.16,42.34,43.18,1008.74
46,4.05,44.14,42.34,43.21,1008.73
47,4.14,44.12,42.32,43.23,1008.73
48,4.23,44.10,42.29,43.22,1008.73
49,4.32,44.09,42.29,43.21,1008.73
50,4.41,44.06,42.28,43.24,1008.72
51,4.50,44.05,42.27,43.22,1008.73
52,4.59,44.03,42.26,43.23,1008.73
53,4.68,44.01,42.24,43.27,1008.72
54,4.77,43.99,42.21,43.28,1008.72
55,4.86,43.97,42.21,43.28,1008.72
56,4.95,43.95,42.20,43.31,1008.73
57,5.04,43.92,42.18,43.29,1008.73
58,5.13,43.91,42.17,43.29,1008.74
59,5.22,43.90,42.14,43.32,1008.74
60,5.31,43.87,42.11,43.34,1008.74
61,5.40,43.86,42.09,43.37,1008.74
62,5.49,43.83,42.09,43.42,1008.74
63,5.58,43.80,42.08,43.43,1008.74
64,5.67,43.80,42.07,43.42,1008.74
65,5.76,43.79,42.06,43.45,1008.74
66,5.85,43.77,42.04,43.46,1008.75
67,5.94,43.74,42.01,43.48,1008.75
68,6.03,43.72,41.99,43.51,1008.75
69,6.12,43.70,41.99,43.58,1008.75
70,6.21,43.67,41.95,43.58,1008.76
71,6.30,43.66,41.92,43.57,1008.76
72,6.39,43.65,41.92,43.56,1008.76
73,6.48,43.63,41.90,43.57,1008.76
74,6.57,43.61,41.90,43.58,1008.76
75,6.66,43.60,41.88,43.57,1008.76
76,6.75,43.57,41.87,43.59,1008.76
77,6.84,43.55,41.85,43.59,1008.77
78,6.93,43.53,41.85,43.62,1008.77
79,7.02,43.50,41.83,43.66,1008.77
80,7.11,43.50,41.82,43.65,1008.77
81,7.20,43.47,41.81,43.66,1008.76
82,7.29,43.45,41.81,43.66,1008.76
83,7.38,43.45,41.78,43.65,1008.76
84,7.47,43.43,41.76,43.65,1008.75
85,7.56,43.42,41.75,43.64,1008.75
86,7.65,43.41,41.72,43.67,1008.75
87,7.74,43.40,41.72,43.70,1008.75
88,7.83,43.38,41.73,43.70,1008.75
89,7.92,43.36,41.71,43.69,1008.75
90,8.01,43.35,41.69,43.69,1008.75
91,8.10,43.33,41.67,43.73,1008.75
92,8.19,43.31,41.66,43.73,1008.75
93,8.28,43.30,41.65,43.72,1008.76
94,8.37,43.28,41.62,43.73,1008.75
95,8.46,43.26,41.60,43.72,1008.75
96,8.55,43.24,41.58,43.73,1008.74
97,8.64,43.22,41.56,43.75,1008.74
98,8.73,43.20,41.54,43.78,1008.75
99,8.82,43.19,41.51,43.79,1008.74
100,8.91,43.16,41.50,43.79,1008.75
101,9.00,43.15,41.48,43.77,1008.75
102,9.09,43.14,41.47,43.79,1008.75
103,9.18,43.12,41.47,43.80,1008.74
104,9.27,43.10,41.45,43.78,1008.74
105,9.36,43.08,41.43,43.81,1008.74
106,9.45,43.07,41.41,43.78,1008.73
107,9.54,43.06,41.40,43.82,1008.72
108,9.63,43.03,41.39,43.83,1008.71
109,9.72,43.01,41.36,43.81,1008.72
110,9.81,42.99,41.34,43.80,1008.73
111,9.90,42.97,41.31,43.77,1008.73
112,9.99,42.95,41.31,43.75,1008.73
113,10.08,42.92,41.29,43.77,1008.73
114,10.17,42.91,41.25,43.76,1008.74
115,10.26,42.89,41.23,43.79,1008.74
116,10.35,42.87,41.21,43.76,1008.74
117,10.44,42.86,41.18,43.74,1008.75
118,10.53,42.85,41.16,43.74,1008.75
119,10.62,42.84,41.13,43.74,1008.75
120,10.71,42.81,41.11,43.74,1008.75
121,10.80,42.79,41.09,43.77,1008.75
122,10.89,42.79,41.08,43.76,1008.76
123,10.98,42.77,41.06,43.78,1008.77
124,11.07,42.75,41.05,43.81,1008.76
125,11.16,42.75,41.03,43.83,1008.76
126,11.25,42.73,41.02,43.80,1008.76
