Material,Condition,Moisture Content (%),Wind Speed (m/s),Inverter Setting,Run,Mean Room Temperature (degC),Mean Room RH (%),Mean Pressure (hPa)
Cotton,Dry,0,4,10,1,27.917,41.077,1008.913
Cotton,Dry,0,4,10,2,28.006,42.864,1008.890
Cotton,Dry,0,4,10,3,27.935,41.044,1008.943
Cotton,Dry,0,8,20,1,28.016,41.901,1008.811
Cotton,Dry,0,8,20,2,27.925,42.006,1008.832
Cotton,Dry,0,8,20,3,27.941,42.015,1008.740
Cotton,Dry,0,15,40,1,27.895,43.409,1008.388
Cotton,Dry,0,15,40,2,28.074,42.122,1008.365
Cotton,Dry,0,15,40,3,28.020,41.722,1008.354
Cotton,Moisture30pct,30,4,10,1,28.040,42.231,1008.863
Cotton,Moisture30pct,30,4,10,2,28.021,42.030,1008.904
Cotton,Moisture30pct,30,4,10,3,27.872,41.707,1008.845
Cotton,Moisture30pct,30,8,20,1,28.045,41.749,1008.771
Cotton,Moisture30pct,30,8,20,2,28.089,41.929,1008.799
Cotton,Moisture30pct,30,8,20,3,28.009,41.897,1008.717
Cotton,Moisture30pct,30,15,40,1,27.956,42.832,1008.409
Cotton,Moisture30pct,30,15,40,2,27.853,42.423,1008.299
Cotton,Moisture30pct,30,15,40,3,28.115,41.716,1008.408
Polyester,Dry,0,4,10,1,28.013,41.765,1008.877
Polyester,Dry,0,4,10,2,28.115,41.874,1008.912
Polyester,Dry,0,4,10,3,27.971,42.482,1008.832
Polyester,Dry,0,8,20,1,28.005,40.746,1008.773
Polyester,Dry,0,8,20,2,28.002,41.794,1008.818
Polyester,Dry,0,8,20,3,27.928,41.609,1008.770
Polyester,Dry,0,15,40,1,27.966,41.853,1008.352
Polyester,Dry,0,15,40,2,27.899,42.041,1008.424
Polyester,Dry,0,15,40,3,28.156,42.313,1008.338
Polyester,Moisture30pct,30,4,10,1,27.991,43.047,1008.846
Polyester,Moisture30pct,30,4,10,2,27.954,41.889,1008.870
Polyester,Moisture30pct,30,4,10,3,27.983,42.097,1008.942
Polyester,Moisture30pct,30,8,20,1,27.978,42.062,1008.785
Polyester,Moisture30pct,30,8,20,2,28.045,42.770,1008.798
Polyester,Moisture30pct,30,8,20,3,28.020,42.149,1008.735
Polyester,Moisture30pct,30,15,40,1,27.892,42.601,1008.323
Polyester,Moisture30pct,30,15,40,2,27.950,42.238,1008.369
Polyester,Moisture30pct,30,15,40,3,28.098,41.700,1008.297
Wool,Dry,0,4,10,1,27.996,41.618,1008.879
Wool,Dry,0,4,10,2,28.062,42.101,1008.840
Wool,Dry,0,4,10,3,27.972,41.403,1008.881
Wool,Dry,0,8,20,1,27.985,43.157,1008.690
Wool,Dry,0,8,20,2,28.102,43.009,1008.781
Wool,Dry,0,8,20,3,27.992,42.255,1008.743
Wool,Dry,0,15,40,1,28.085,41.407,1008.338
Wool,Dry,0,15,40,2,28.116,40.714,1008.364
Wool,Dry,0,15,40,3,27.975,41.788,1008.337
Wool,Moisture30pct,30,4,10,1,28.118,42.212,1008.806
Wool,Moisture30pct,30,4,10,2,28.056,42.468,1008.919
Wool,Moisture30pct,30,4,10,3,27.953,42.448,1008.882
Wool,Moisture30pct,30,8,20,1,27.924,42.370,1008.764
Wool,Moisture30pct,30,8,20,2,27.830,42.655,1008.839
Wool,Moisture30pct,30,8,20,3,28.200,42.065,1008.767
Wool,Moisture30pct,30,15,40,1,27.890,42.718,1008.305
Wool,Moisture30pct,30,15,40,2,27.945,42.929,1008.404
Wool,Moisture30pct,30,15,40,3,28.074,41.792,1008.344
