Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.83,41.53,1008.84
2,0.09,44.97,43.84,41.53,1008.84
3,0.18,44.97,43.83,41.52,1008.84
4,0.27,44.96,43.82,41.50,1008.84
5,0.36,44.96,43.82,41.51,1008.85
6,0.45,44.94,43.82,41.50,1008.85
7,0.54,44.94,43.80,41.52,1008.85
8,0.63,44.92,43.80,41.52,1008.85
9,0.72,44.91,43.79,41.50,1008.84
10,0.81,44.91,43.79,41.49,1008.84
11,0.90,44.90,43.76,41.48,1008.84
12,0.99,44.89,43.74,41.48,1008.84
13,1.08,44.89,43.72,41.49,1008.84
14,1.17,44.87,43.71,41.51,1008.84
15,1.26,44.87,43.71,41.50,1008.84
16,1.35,44.86,43.69,41.51,1008.84
17,1.44,44.85,43.69,41.52,1008.84
18,1.53,44.84,43.69,41.53,1008.84
19,1.62,44.83,43.69,41.51,1008.84
20,1.71,44.82,43.67,41.51,1008.83
21,1.80,44.82,43.66,41.53,1008.83
22,1.89,44.81,43.66,41.54,1008.83
23,1.98,44.80,43.64,41.55,1008.83
24,2.07,44.80,43.64,41.54,1008.83
25,2.16,44.78,43.62,41.55,1008.83
26,2.25,44.77,43.61,41.55,1008.83
27,2.34,44.76,43.60,41.53,1008.83
28,2.43,44.76,43.59,41.54,1008.82
29,2.52,44.75,43.59,41.53,1008.83
30,2.61,44.74,43.58,41.55,1008.83
31,2.70,44.74,43.57,41.57,1008.83
32,2.79,44.73,43.56,41.54,1008.82
33,2.88,44.73,43.55,41.53,1008.82
34,2.97,44.73,43.55,41.50,1008.82
35,3.06,44.72,43.54,41.53,1008.82
36,3.15,44.71,43.52,41.54,1008.82
37,3.24,44.70,43.51,41.53,1008.82
38,3.33,44.68,43.50,41.52,1008.81
39,3.42,44.68,43.50,41.51,1008.81
40,3.51,44.67,43.49,41.51,1008.82
41,3.60,44.66,43.48,41.52,1008.82
42,3.69,44.65,43.48,41.51,1008.82
43,3.78,44.64,43.48,41.53,1008.83
44,3.87,44.64,43.47,41.51,1008.82
45,3.96,44.63,43.47,41.53,1008.83
46,4.05,44.63,43.45,41.53,1008.83
47,4.14,44.62,43.43,41.55,1008.83
48,4.23,44.60,43.41,41.54,1008.83
49,4.32,44.58,43.39,41.54,1008.82
50,4.41,44.58,43.38,41.54,1008.83
51,4.50,44.57,43.36,41.54,1008.83
52,4.59,44.56,43.35,41.56,1008.83
53,4.68,44.55,43.34,41.55,1008.83
54,4.77,44.54,43.34,41.56,1008.83
55,4.86,44.53,43.33,41.55,1008.84
56,4.95,44.52,43.32,41.55,1008.84
57,5.04,44.51,43.33,41.59,1008.84
58,5.13,44.50,43.33,41.59,1008.85
59,5.22,44.49,43.31,41.63,1008.85
60,5.31,44.47,43.30,41.64,1008.86
61,5.40,44.46,43.28,41.64,1008.86
62,5.49,44.45,43.28,41.65,1008.86
63,5.58,44.45,43.26,41.66,1008.86
64,5.67,44.44,43.24,41.68,1008.87
65,5.76,44.43,43.22,41.68,1008.86
66,5.85,44.42,43.21,41.71,1008.86
67,5.94,44.42,43.20,41.68,1008.87
68,6.03,44.40,43.21,41.68,1008.87
69,6.12,44.39,43.21,41.70,1008.87
70,6.21,44.38,43.21,41.70,1008.87
71,6.30,44.37,43.21,41.70,1008.87
72,6.39,44.36,43.20,41.71,1008.87
73,6.48,44.34,43.18,41.67,1008.87
74,6.57,44.34,43.19,41.68,1008.87
75,6.66,44.33,43.17,41.68,1008.86
76,6.75,44.32,43.17,41.68,1008.86
77,6.84,44.31,43.16,41.67,1008.86
78,6.93,44.29,43.15,41.68,1008.86
79,7.02,44.29,43.13,41.69,1008.86
80,7.11,44.28,43.12,41.71,1008.86
81,7.20,44.28,43.11,41.71,1008.86
82,7.29,44.27,43.10,41.70,1008.86
83,7.38,44.25,43.09,41.70,1008.85
84,7.47,44.23,43.09,41.70,1008.85
85,7.56,44.22,43.08,41.70,1008.85
86,7.65,44.21,43.06,41.69,1008.85
87,7.74,44.20,43.06,41.69,1008.85
88,7.83,44.20,43.05,41.68,1008.85
89,7.92,44.18,43.05,41.67,1008.85
90,8.01,44.17,43.04,41.70,1008.85
91,8.10,44.16,43.03,41.69,1008.84
92,8.19,44.16,43.03,41.69,1008.84
93,8.28,44.15,43.02,41.68,1008.84
94,8.37,44.14,43.00,41.66,1008.84
95,8.46,44.14,42.99,41.64,1008.85
96,8.55,44.13,42.99,41.65,1008.84
97,8.64,44.12,42.98,41.66,1008.84
98,8.73,44.11,42.97,41.63,1008.84
99,8.82,44.11,42.97,41.63,1008.84
100,8.91,44.09,42.96,41.64,1008.84
101,9.00,44.09,42.96,41.61,1008.84
102,9.09,44.07,42.95,41.62,1008.84
103,9.18,44.05,42.94,41.60,1008.84
104,9.27,44.05,42.93,41.63,1008.84
105,9.36,44.03,42.92,41.62,1008.84
106,9.45,44.03,42.93,41.62,1008.85
107,9.54,44.02,42.92,41.61,1008.85
108,9.63,44.01,42.91,41.63,1008.85
109,9.72,44.00,42.90,41.62,1008.85
110,9.81,44.00,42.90,41.61,1008.85
111,9.90,43.99,42.89,41.60,1008.85
112,9.99,43.98,42.88,41.59,1008.85
113,10.08,43.97,42.87,41.63,1008.86
114,10.17,43.96,42.87,41.63,1008.86
115,10.26,43.96,42.84,41.64,1008.86
116,10.35,43.95,42.83,41.66,1008.87
117,10.44,43.95,42.82,41.67,1008.87
118,10.53,43.94,42.83,41.65,1008.87
119,10.62,43.94,42.81,41.66,1008.87
120,10.71,43.94,42.80,41.66,1008.87
121,10.80,43.93,42.80,41.69,1008.87
122,10.89,43.93,42.80,41.68,1008.87
123,10.98,43.91,42.79,41.70,1008.87
124,11.07,43.91,42.79,41.66,1008.88
125,11.16,43.90,42.95,41.65,1008.88
