Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,43.44,42.44,1008.72
2,0.09,44.98,43.41,42.43,1008.72
3,0.18,44.97,43.41,42.43,1008.72
4,0.27,44.95,43.41,42.43,1008.71
5,0.36,44.94,43.40,42.44,1008.71
6,0.45,44.92,43.39,42.45,1008.71
7,0.54,44.91,43.38,42.45,1008.71
8,0.63,44.90,43.37,42.45,1008.71
9,0.72,44.89,43.35,42.45,1008.72
10,0.81,44.88,43.33,42.45,1008.72
11,0.90,44.86,43.31,42.46,1008.72
12,0.99,44.84,43.29,42.47,1008.71
13,1.08,44.83,43.28,42.49,1008.71
14,1.17,44.82,43.27,42.50,1008.71
15,1.26,44.81,43.26,42.50,1008.71
16,1.35,44.79,43.24,42.50,1008.71
17,1.44,44.77,43.23,42.49,1008.72
18,1.53,44.76,43.22,42.48,1008.72
19,1.62,44.75,43.21,42.48,1008.72
20,1.71,44.74,43.20,42.49,1008.72
21,1.80,44.73,43.19,42.49,1008.73
22,1.89,44.71,43.17,42.50,1008.73
23,1.98,44.69,43.16,42.48,1008.73
24,2.07,44.68,43.15,42.48,1008.73
25,2.16,44.67,43.14,42.48,1008.73
26,2.25,44.66,43.13,42.47,1008.73
27,2.34,44.64,43.12,42.46,1008.74
28,2.43,44.63,43.10,42.44,1008.74
29,2.52,44.61,43.08,42.45,1008.74
30,2.61,44.59,43.08,42.45,1008.75
31,2.70,44.58,43.06,42.46,1008.75
32,2.79,44.57,43.05,42.46,1008.75
33,2.88,44.55,43.03,42.44,1008.75
34,2.97,44.54,43.02,42.44,1008.75
35,3.06,44.52,43.00,42.45,1008.75
36,3.15,44.50,43.00,42.44,1008.75
37,3.24,44.49,42.97,42.43,1008.75
38,3.33,44.48,42.96,42.44,1008.75
39,3.42,44.47,42.95,42.45,1008.76
40,3.51,44.46,42.93,42.47,1008.76
41,3.60,44.44,42.92,42.47,1008.76
42,3.69,44.43,42.90,42.46,1008.76
43,3.78,44.42,42.90,42.46,1008.76
44,3.87,44.41,42.89,42.45,1008.75
45,3.96,44.40,42.88,42.45,1008.75
46,4.05,44.38,42.86,42.44,1008.74
47,4.14,44.37,42.85,42.45,1008.74
48,4.23,44.35,42.83,42.44,1008.74
49,4.32,44.34,42.82,42.45,1008.74
50,4.41,44.33,42.81,42.45,1008.74
51,4.50,44.31,42.80,42.45,1008.74
52,4.59,44.30,42.78,42.43,1008.73
53,4.68,44.29,42.76,42.43,1008.73
54,4.77,44.27,42.74,42.42,1008.73
55,4.86,44.25,42.73,42.42,1008.73
56,4.95,44.23,42.72,42.41,1008.73
57,5.04,44.22,42.70,42.41,1008.73
58,5.13,44.20,42.68,42.43,1008.73
59,5.22,44.19,42.67,42.42,1008.73
60,5.31,44.17,42.66,42.43,1008.73
61,5.40,44.16,42.64,42.42,1008.73
62,5.49,44.16,42.63,42.42,1008.72
63,5.58,44.14,42.61,42.42,1008.73
64,5.67,44.12,42.61,42.41,1008.73
65,5.76,44.11,42.59,42.42,1008.73
66,5.85,44.10,42.58,42.42,1008.74
67,5.94,44.09,42.57,42.43,1008.73
68,6.03,44.07,42.56,42.44,1008.74
69,6.12,44.07,42.55,42.43,1008.74
70,6.21,44.05,42.54,42.44,1008.75
71,6.30,44.04,42.52,42.44,1008.75
72,6.39,44.03,42.50,42.45,1008.75
73,6.48,44.01,42.49,42.46,1008.76
74,6.57,44.00,42.49,42.46,1008.75
75,6.66,43.99,42.48,42.45,1008.75
76,6.75,43.97,42.46,42.44,1008.76
77,6.84,43.96,42.44,42.44,1008.76
78,6.93,43.95,42.42,42.44,1008.76
79,7.02,43.94,42.41,42.44,1008.76
80,7.11,43.92,42.39,42.44,1008.76
81,7.20,43.91,42.38,42.45,1008.76
82,7.29,43.89,42.35,42.46,1008.76
83,7.38,43.88,42.34,42.46,1008.75
84,7.47,43.86,42.33,42.46,1008.75
85,7.56,43.85,42.33,42.46,1008.75
