Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,42.80,43.20,1008.35
2,0.09,44.98,42.60,43.22,1008.35
3,0.18,44.95,42.56,43.23,1008.34
4,0.27,44.93,42.54,43.25,1008.34
5,0.36,44.90,42.52,43.28,1008.34
6,0.45,44.89,42.49,43.30,1008.33
7,0.54,44.86,42.47,43.29,1008.32
8,0.63,44.83,42.45,43.32,1008.33
9,0.72,44.80,42.42,43.34,1008.33
10,0.81,44.78,42.40,43.37,1008.32
11,0.90,44.75,42.37,43.38,1008.32
12,0.99,44.72,42.34,43.40,1008.31
13,1.08,44.70,42.30,43.40,1008.31
14,1.17,44.67,42.28,43.42,1008.30
15,1.26,44.64,42.27,43.43,1008.30
16,1.35,44.61,42.25,43.45,1008.31
17,1.44,44.57,42.23,43.45,1008.31
18,1.53,44.55,42.20,43.47,1008.30
19,1.62,44.54,42.18,43.49,1008.31
20,1.71,44.51,42.16,43.51,1008.31
21,1.80,44.49,42.13,43.53,1008.30
22,1.89,44.47,42.11,43.54,1008.31
23,1.98,44.45,42.08,43.55,1008.32
24,2.07,44.42,42.06,43.56,1008.32
25,2.16,44.39,42.04,43.56,1008.33
26,2.25,44.36,42.02,43.59,1008.33
27,2.34,44.33,41.99,43.61,1008.34
28,2.43,44.30,41.98,43.62,1008.34
29,2.52,44.28,41.96,43.63,1008.34
30,2.61,44.25,41.95,43.64,1008.34
31,2.70,44.22,41.92,43.64,1008.35
32,2.79,44.19,41.90,43.66,1008.36
33,2.88,44.16,41.88,43.68,1008.36
34,2.97,44.14,41.85,43.66,1008.36
35,3.06,44.11,41.83,43.68,1008.37
36,3.15,44.09,41.80,43.69,1008.37
37,3.24,44.07,41.77,43.69,1008.38
38,3.33,44.03,41.75,43.70,1008.37
39,3.42,44.01,41.72,43.70,1008.38
40,3.51,43.98,41.69,43.73,1008.38
41,3.60,43.96,41.66,43.72,1008.37
42,3.69,43.93,41.63,43.72,1008.38
43,3.78,43.90,41.60,43.74,1008.38
44,3.87,43.88,41.58,43.75,1008.38
45,3.96,43.84,41.56,43.77,1008.38
46,4.05,43.81,41.54,43.79,1008.39
47,4.14,43.79,41.52,43.77,1008.39
48,4.23,43.76,41.49,43.78,1008.39
49,4.32,43.74,41.47,43.81,1008.39
50,4.41,43.72,41.45,43.83,1008.39
51,4.50,43.70,41.43,43.86,1008.39
52,4.59,43.67,41.40,43.86,1008.38
53,4.68,43.64,41.37,43.87,1008.38
54,4.77,43.62,41.34,43.87,1008.38
55,4.86,43.58,41.31,43.87,1008.38
56,4.95,43.55,41.29,43.87,1008.37
57,5.04,43.53,41.27,43.88,1008.37
58,5.13,43.51,41.24,43.90,1008.36
59,5.22,43.49,41.22,43.90,1008.36
60,5.31,43.46,41.20,43.91,1008.35
61,5.40,43.44,41.18,43.91,1008.35
62,5.49,43.41,41.15,43.93,1008.34
63,5.58,43.38,41.13,43.91,1008.34
64,5.67,43.35,41.11,43.94,1008.34
65,5.76,43.33,41.09,43.96,1008.34
66,5.85,43.31,41.06,43.98,1008.34
67,5.94,43.28,41.03,43.98,1008.35
68,6.03,43.26,41.00,43.97,1008.34
