Index,Relative Time (s),PT100 (degC),BME280 T (degC),Humidity (%),Pressure (hPa)
1,0.00,45.00,42.84,43.50,1008.27
2,0.09,45.00,42.62,43.54,1008.29
3,0.18,44.97,42.58,43.54,1008.29
4,0.27,44.95,42.53,43.52,1008.30
5,0.36,44.93,42.50,43.60,1008.29
6,0.45,44.92,42.49,43.63,1008.29
7,0.54,44.90,42.48,43.62,1008.28
8,0.63,44.84,42.45,43.64,1008.29
9,0.72,44.82,42.42,43.65,1008.29
10,0.81,44.80,42.41,43.67,1008.28
11,0.90,44.78,42.38,43.67,1008.28
12,0.99,44.75,42.36,43.70,1008.27
13,1.08,44.73,42.33,43.70,1008.25
14,1.17,44.69,42.32,43.73,1008.25
15,1.26,44.67,42.30,43.72,1008.25
16,1.35,44.65,42.29,43.76,1008.26
17,1.44,44.62,42.28,43.76,1008.25
18,1.53,44.61,42.26,43.78,1008.25
19,1.62,44.58,42.25,43.80,1008.25
20,1.71,44.56,42.22,43.83,1008.26
21,1.80,44.53,42.19,43.86,1008.27
22,1.89,44.52,42.17,43.85,1008.28
23,1.98,44.48,42.15,43.84,1008.29
24,2.07,44.45,42.12,43.88,1008.28
25,2.16,44.43,42.08,43.88,1008.30
26,2.25,44.40,42.07,43.92,1008.29
27,2.34,44.38,42.04,43.92,1008.32
28,2.43,44.34,42.03,43.90,1008.32
29,2.52,44.33,42.03,43.90,1008.32
30,2.61,44.29,42.03,43.91,1008.31
31,2.70,44.25,42.01,43.91,1008.33
32,2.79,44.22,42.00,43.92,1008.34
33,2.88,44.18,41.98,43.94,1008.34
34,2.97,44.15,41.93,43.97,1008.34
35,3.06,44.12,41.91,43.96,1008.35
36,3.15,44.11,41.88,43.96,1008.36
37,3.24,44.08,41.85,43.97,1008.36
38,3.33,44.06,41.83,43.97,1008.35
39,3.42,44.03,41.81,44.00,1008.35
40,3.51,44.02,41.78,44.01,1008.35
41,3.60,43.99,41.74,44.02,1008.35
42,3.69,43.96,41.71,44.01,1008.35
43,3.78,43.91,41.66,44.04,1008.36
44,3.87,43.89,41.62,44.03,1008.36
45,3.96,43.85,41.61,44.05,1008.37
46,4.05,43.81,41.59,44.08,1008.36
47,4.14,43.77,41.57,44.07,1008.36
48,4.23,43.74,41.53,44.07,1008.36
49,4.32,43.71,41.52,44.10,1008.36
50,4.41,43.70,41.50,44.15,1008.37
51,4.50,43.68,41.47,44.19,1008.38
52,4.59,43.65,41.44,44.19,1008.36
53,4.68,43.62,41.41,44.20,1008.37
54,4.77,43.59,41.39,44.20,1008.37
55,4.86,43.56,41.34,44.21,1008.37
56,4.95,43.53,41.31,44.20,1008.37
57,5.04,43.51,41.31,44.21,1008.37
58,5.13,43.50,41.28,44.23,1008.36
59,5.22,43.49,41.27,44.21,1008.36
60,5.31,43.46,41.24,44.22,1008.35
61,5.40,43.45,41.21,44.17,1008.35
62,5.49,43.40,41.17,44.20,1008.34
63,5.58,43.38,41.14,44.16,1008.35
64,5.67,43.35,41.13,44.19,1008.35
65,5.76,43.33,41.11,44.21,1008.35
66,5.85,43.32,41.09,44.23,1008.34
67,5.94,43.29,41.05,44.26,1008.35
68,6.03,43.25,41.01,44.24,1008.34
69,6.12,43.22,40.97,44.28,1008.34
70,6.21,43.19,40.96,44.26,1008.33
71,6.30,43.16,40.95,44.29,1008.33
72,6.39,43.13,40.92,44.30,1008.33
73,6.48,43.10,40.88,44.31,1008.32
74,6.57,43.06,40.87,44.31,1008.31
75,6.66,43.03,40.85,44.37,1008.31
76,6.75,43.02,40.81,44.37,1008.30
77,6.84,42.98,40.78,44.40,1008.30
78,6.93,42.97,40.75,44.36,1008.30
79,7.02,42.95,40.73,44.38,1008.29
80,7.11,42.92,40.71,44.42,1008.29
81,7.20,42.90,40.69,44.43,1008.28
82,7.29,42.88,40.65,44.44,1008.27
83,7.38,42.86,40.62,44.42,1008.28
84,7.47,42.83,40.59,44.42,1008.27
85,7.56,42.81,40.59,44.41,1008.27
86,7.65,42.77,40.58,44.41,1008.27
87,7.74,42.76,40.55,44.41,1008.27
88,7.83,42.74,40.54,44.45,1008.26
89,7.92,42.72,40.53,44.46,1008.26
90,8.01,42.69,40.52,44.44,1008.25
91,8.10,42.68,40.52,44.47,1008.28
92,8.19,42.65,40.51,44.48,1008.27
93,8.28,42.63,40.50,44.53,1008.28
94,8.37,42.59,40.47,44.55,1008.29
95,8.46,42.55,40.47,44.56,1008.28
96,8.55,42.52,40.46,44.56,1008.28
97,8.64,42.48,40.44,44.58,1008.29
98,8.73,42.47,40.40,44.60,1008.29
99,8.82,42.46,40.39,44.59,1008.29
100,8.91,42.43,40.37,44.59,1008.29
101,9.00,42.40,40.34,44.61,1008.29
102,9.09,42.38,40.30,44.59,1008.30
103,9.18,42.36,40.29,44.60,1008.31
104,9.27,42.34,40.26,44.61,1008.32
105,9.36,42.31,40.25,44.61,1008.32
106,9.45,42.30,40.22,44.60,1008.32
107,9.54,42.28,40.19,44.61,1008.31
108,9.63,42.26,40.17,44.59,1008.31
109,9.72,42.25,40.16,44.63,1008.32
110,9.81,42.23,40.16,44.67,1008.32
111,9.90,42.21,40.14,44.68,1008.31
112,9.99,42.19,40.11,44.70,1008.32
113,10.08,42.17,40.09,44.69,1008.32
114,10.17,42.14,40.06,44.68,1008.33
115,10.26,42.13,40.06,44.70,1008.33
116,10.35,42.10,40.06,44.73,1008.34
117,10.44,42.11,40.04,44.77,1008.34
118,10.53,42.08,40.02,44.79,1008.35
119,10.62,42.05,40.00,44.79,1008.35
120,10.71,42.01,39.99,44.80,1008.36
121,10.80,42.00,39.97,44.80,1008.36
122,10.89,41.97,39.94,44.82,1008.35
123,10.98,41.96,39.88,44.82,1008.35
124,11.07,41.95,39.87,44.82,1008.35
125,11.16,41.91,39.85,44.84,1008.36
126,11.25,41.89,39.83,44.86,1008.36
127,11.34,41.87,39.80,44.86,1008.36
128,11.43,41.85,39.78,44.88,1008.35
129,11.52,41.82,39.76,44.92,1008.34
130,11.61,41.79,39.72,44.92,1008.34
131,11.70,41.79,39.71,44.94,1008.33
132,11.79,41.76,39.69,44.94,1008.34
133,11.88,41.74,39.65,44.97,1008.34
134,11.97,41.74,39.64,45.00,1008.34
135,12.06,41.70,39.62,44.96,1008.33
136,12.15,41.68,39.59,44.98,1008.33
137,12.24,41.64,39.55,44.96,1008.33
138,12.33,41.63,39.51,44.96,1008.35
139,12.42,41.60,39.47,44.99,1008.33
140,12.51,41.56,39.47,44.98,1008.33
141,12.60,41.55,39.44,45.01,1008.33
142,12.69,41.53,39.43,45.01,1008.34
143,12.78,41.50,39.44,45.00,1008.33
144,12.87,41.48,39.42,45.00,1008.34
145,12.96,41.46,39.40,45.02,1008.34
146,13.05,41.43,39.37,45.03,1008.32
147,13.14,41.40,39.34,45.02,1008.31
148,13.23,41.39,39.32,45.02,1008.31
149,13.32,41.37,39.27,45.00,1008.31
150,13.41,41.35,39.24,44.98,1008.31
151,13.50,41.34,39.23,44.98,1008.31
152,13.59,41.32,39.20,44.98,1008.30
153,13.68,41.30,39.18,44.97,1008.29
154,13.77,41.27,39.18,44.99,1008.29
155,13.86,41.25,39.16,45.01,1008.30
156,13.95,41.24,39.14,45.03,1008.29
157,14.04,41.22,39.13,45.03,1008.30
158,14.13,41.18,39.11,45.08,1008.29
159,14.22,41.18,39.10,45.10,1008.29
160,14.31,41.16,39.09,45.12,1008.29
161,14.40,41.13,39.06,45.15,1008.30
162,14.49,41.08,39.04,45.16,1008.29
163,14.58,41.08,39.01,45.14,1008.28
164,14.67,41.05,39.00,45.14,1008.28
165,14.76,41.01,38.98,45.14,1008.28
166,14.85,41.01,38.98,45.15,1008.28
167,14.94,40.97,38.98,45.15,1008.29
168,15.03,40.94,38.98,45.14,1008.28
169,15.12,40.92,38.95,45.14,1008.28
170,15.21,40.90,38.93,45.16,1008.26
171,15.30,40.88,38.90,45.16,1008.26
172,15.39,40.86,38.88,45.12,1008.27
173,15.48,40.84,38.88,45.14,1008.26
174,15.57,40.81,38.85,45.14,1008.27
175,15.66,40.79,38.81,45.16,1008.26
176,15.75,40.77,38.79,45.16,1008.27
177,15.84,40.75,38.75,45.12,1008.26
178,15.93,40.75,38.74,45.12,1008.27
179,16.02,40.73,38.72,45.16,1008.26
180,16.11,40.72,38.69,45.18,1008.25
181,16.20,40.68,38.67,45.20,1008.26
182,16.29,40.66,38.64,45.20,1008.25
183,16.38,40.65,38.63,45.19,1008.27
184,16.47,40.62,38.61,45.22,1008.26
185,16.56,40.60,38.58,45.22,1008.26
186,16.65,40.57,38.57,45.19,1008.26
187,16.74,40.56,38.57,45.21,1008.26
188,16.83,40.54,38.55,45.21,1008.26
189,16.92,40.53,38.56,45.20,1008.27
190,17.01,40.52,38.55,45.23,1008.27
191,17.10,40.50,38.54,45.25,1008.28
192,17.19,40.49,38.51,45.28,1008.28
193,17.28,40.48,38.50,45.27,1008.28
194,17.37,40.47,38.50,45.27,1008.29
195,17.46,40.44,38.50,45.23,1008.30
196,17.55,40.44,38.50,45.22,1008.28
197,17.64,40.39,38.48,45.23,1008.28
198,17.73,40.37,38.48,45.25,1008.28
199,17.82,40.36,38.46,45.26,1008.28
200,17.91,40.34,38.43,45.26,1008.29
201,18.00,40.32,38.40,45.26,1008.28
202,18.09,40.29,38.39,45.28,1008.28
203,18.18,40.27,38.39,45.28,1008.29
204,18.27,40.24,38.39,45.28,1008.30
205,18.36,40.22,38.37,45.29,1008.31
206,18.45,40.20,38.36,45.33,1008.32
207,18.54,40.19,38.34,45.37,1008.34
208,18.63,40.17,38.32,45.39,1008.34
209,18.72,40.14,38.31,45.41,1008.34
210,18.81,40.12,38.29,45.41,1008.34
211,18.90,40.09,38.27,45.44,1008.34
212,18.99,40.07,38.24,45.47,1008.34
213,19.08,40.03,38.23,45.46,1008.33
214,19.17,40.00,38.21,45.47,1008.33
215,19.26,39.97,38.18,45.48,1008.33
216,19.35,39.95,38.14,45.50,1008.34
217,19.44,39.94,38.12,45.48,1008.33
218,19.53,39.93,38.10,45.49,1008.34
219,19.62,39.92,38.08,45.48,1008.33
220,19.71,39.92,38.07,45.47,1008.32
221,19.80,39.91,38.05,45.48,1008.31
222,19.89,39.90,38.02,45.50,1008.32
223,19.98,39.88,38.01,45.50,1008.32
224,20.07,39.87,38.02,45.54,1008.32
225,20.16,39.86,37.99,45.55,1008.31
226,20.25,39.84,37.96,45.55,1008.31
227,20.34,39.82,37.95,45.54,1008.30
228,20.43,39.81,37.94,45.55,1008.31
229,20.52,39.80,37.92,45.57,1008.31
230,20.61,39.77,37.91,45.56,1008.30
231,20.70,39.76,37.87,45.59,1008.30
232,20.79,39.75,37.84,45.54,1008.30
233,20.88,39.71,37.82,45.54,1008.30
234,20.97,39.69,37.83,45.52,1008.28
235,21.06,39.66,37.81,45.53,1008.27
236,21.15,39.64,37.79,45.53,1008.27
237,21.24,39.63,37.78,45.52,1008.27
238,21.33,39.61,37.75,45.53,1008.27
239,21.42,39.58,37.74,45.55,1008.26
240,21.51,39.55,37.69,45.54,1008.26
241,21.60,39.51,37.66,45.53,1008.25
242,21.69,39.50,37.64,45.52,1008.24
243,21.78,39.48,37.62,45.53,1008.24
244,21.87,39.47,37.59,45.53,1008.24
245,21.96,39.46,37.58,45.56,1008.24
246,22.05,39.46,37.56,45.61,1008.23
247,22.14,39.44,37.53,45.63,1008.23
248,22.23,39.42,37.52,45.65,1008.24
249,22.32,39.39,37.50,45.66,1008.25
250,22.41,39.37,37.47,45.66,1008.23
251,22.50,39.35,37.44,45.68,1008.23
252,22.59,39.34,37.42,45.71,1008.23
253,22.68,39.33,37.39,45.68,1008.23
254,22.77,39.31,37.36,45.70,1008.24
255,22.86,39.30,37.34,45.70,1008.25
256,22.95,39.27,37.33,45.72,1008.25
257,23.04,39.24,37.30,45.76,1008.23
258,23.13,39.22,37.27,45.78,1008.24
259,23.22,39.18,37.26,45.77,1008.25
260,23.31,39.17,37.23,45.82,1008.25
261,23.40,39.16,37.20,45.84,1008.24
262,23.49,39.16,37.18,45.85,1008.24
263,23.58,39.15,37.18,45.86,1008.25
264,23.67,39.15,37.15,45.87,1008.27
265,23.76,39.13,37.14,45.85,1008.27
266,23.85,39.12,37.14,45.86,1008.28
267,23.94,39.10,37.12,45.88,1008.28
268,24.03,39.07,37.11,45.88,1008.27
269,24.12,39.04,37.11,45.88,1008.29
270,24.21,39.01,37.09,45.89,1008.29
271,24.30,38.99,37.08,45.87,1008.29
272,24.39,38.96,37.09,45.89,1008.29
273,24.48,38.96,37.08,45.91,1008.30
274,24.57,38.94,37.07,45.93,1008.29
275,24.66,38.92,37.07,45.90,1008.29
276,24.75,38.90,37.03,45.90,1008.30
277,24.84,38.89,37.03,45.90,1008.31
278,24.93,38.86,37.01,45.89,1008.31
279,25.02,38.85,36.98,45.89,1008.31
280,25.11,38.82,36.97,45.89,1008.33
281,25.20,38.79,36.95,45.90,1008.33
282,25.29,38.77,36.93,45.93,1008.33
283,25.38,38.76,36.92,45.91,1008.32
284,25.47,38.75,36.92,45.93,1008.32
285,25.56,38.74,36.90,45.92,1008.32
286,25.65,38.71,36.89,45.98,1008.33
287,25.74,38.69,36.87,45.97,1008.33
288,25.83,38.68,36.85,45.97,1008.35
289,25.92,38.66,36.83,46.00,1008.36
290,26.01,38.65,36.79,45.98,1008.36
291,26.10,38.63,36.80,45.96,1008.36
292,26.19,38.62,36.79,45.97,1008.36
293,26.28,38.61,36.77,45.95,1008.35
294,26.37,38.59,36.74,45.96,1008.35
295,26.46,38.58,36.72,45.99,1008.35
296,26.55,38.57,36.70,45.98,1008.37
297,26.64,38.54,36.69,45.98,1008.36
298,26.73,38.52,36.68,46.02,1008.35
299,26.82,38.51,36.67,46.04,1008.35
300,26.91,38.48,36.64,46.06,1008.35
301,27.00,38.46,36.64,46.08,1008.36
302,27.09,38.45,36.63,46.12,1008.36
303,27.18,38.43,36.63,46.15,1008.36
304,27.27,38.42,36.61,46.15,1008.36
305,27.36,38.40,36.62,46.18,1008.37
306,27.45,38.38,36.60,46.16,1008.37
307,27.54,38.35,36.60,46.16,1008.37
308,27.63,38.35,36.59,46.18,1008.36
309,27.72,38.32,36.56,46.22,1008.36
310,27.81,38.29,36.55,46.23,1008.36
311,27.90,38.27,36.54,46.26,1008.36
312,27.99,38.26,36.51,46.27,1008.37
313,28.08,38.26,36.48,46.27,1008.36
314,28.17,38.22,36.47,46.28,1008.35
315,28.26,38.19,36.45,46.26,1008.34
316,28.35,38.17,36.44,46.27,1008.33
317,28.44,38.14,36.43,46.29,1008.30
318,28.53,38.11,36.42,46.31,1008.30
319,28.62,38.11,36.40,46.28,1008.31
320,28.71,38.10,36.37,46.27,1008.30
321,28.80,38.07,36.34,46.26,1008.31
322,28.89,38.03,36.33,46.29,1008.30
323,28.98,38.01,36.33,46.32,1008.31
324,29.07,37.99,36.31,46.35,1008.31
325,29.16,37.97,36.28,46.36,1008.31
326,29.25,37.96,36.28,46.39,1008.31
327,29.34,37.94,36.26,46.39,1008.30
328,29.43,37.93,36.25,46.40,1008.28
329,29.52,37.92,36.24,46.40,1008.30
330,29.61,37.91,36.21,46.38,1008.28
331,29.70,37.90,36.19,46.38,1008.27
332,29.79,37.88,36.17,46.36,1008.25
333,29.88,37.86,36.17,46.37,1008.26
334,29.97,37.85,36.14,46.38,1008.25
335,30.06,37.82,36.12,46.37,1008.25
336,30.15,37.80,36.10,46.36,1008.26
337,30.24,37.80,36.07,46.37,1008.26
338,30.33,37.78,36.08,46.37,1008.26
339,30.42,37.77,36.05,46.39,1008.26
340,30.51,37.75,36.04,46.35,1008.27
341,30.60,37.72,36.02,46.35,1008.26
342,30.69,37.71,36.01,46.34,1008.26
343,30.78,37.69,36.00,46.36,1008.26
344,30.87,37.68,35.98,46.38,1008.26
345,30.96,37.67,35.95,46.38,1008.25
346,31.05,37.65,35.94,46.40,1008.27
347,31.14,37.64,35.92,46.39,1008.26
348,31.23,37.61,35.90,46.39,1008.28
349,31.32,37.60,35.90,46.38,1008.28
350,31.41,37.58,35.90,46.40,1008.28
351,31.50,37.56,35.89,46.43,1008.28
352,31.59,37.55,35.89,46.45,1008.28
353,31.68,37.54,35.86,46.43,1008.29
354,31.77,37.51,35.85,46.47,1008.30
355,31.86,37.50,35.86,46.47,1008.31
356,31.95,37.49,35.84,46.47,1008.33
357,32.04,37.46,35.81,46.48,1008.34
358,32.13,37.46,35.79,46.47,1008.34
359,32.22,37.45,35.77,46.47,1008.35
360,32.31,37.44,35.75,46.48,1008.34
361,32.40,37.42,35.70,46.50,1008.34
362,32.49,37.39,35.71,46.50,1008.35
363,32.58,37.37,35.70,46.52,1008.35
364,32.67,37.36,35.67,46.53,1008.35
365,32.76,37.35,35.68,46.56,1008.34
366,32.85,37.35,35.64,46.55,1008.34
367,32.94,37.32,35.63,46.57,1008.35
368,33.03,37.29,35.61,46.57,1008.35
369,33.12,37.28,35.60,46.59,1008.35
370,33.21,37.26,35.59,46.63,1008.35
371,33.30,37.25,35.57,46.63,1008.36
372,33.39,37.23,35.56,46.61,1008.36
373,33.48,37.22,35.55,46.61,1008.36
374,33.57,37.22,35.55,46.60,1008.35
375,33.66,37.22,35.55,46.63,1008.37
376,33.75,37.22,35.54,46.62,1008.36
377,33.84,37.22,35.54,46.68,1008.37
378,33.93,37.20,35.52,46.69,1008.37
379,34.02,37.18,35.51,46.67,1008.37
380,34.11,37.19,35.49,46.65,1008.37
381,34.20,37.17,35.47,46.66,1008.37
382,34.29,37.16,35.47,46.68,1008.38
383,34.38,37.15,35.46,46.67,1008.38
384,34.47,37.13,35.46,46.68,1008.37
385,34.56,37.12,35.45,46.70,1008.37
386,34.65,37.09,35.46,46.71,1008.38
387,34.74,37.08,35.44,46.70,1008.37
388,34.83,37.07,35.43,46.69,1008.37
389,34.92,37.04,35.41,46.72,1008.37
390,35.01,37.02,35.40,46.72,1008.36
391,35.10,37.01,35.38,46.74,1008.35
392,35.19,37.00,35.37,46.74,1008.35
393,35.28,36.98,35.35,46.76,1008.35
394,35.37,36.97,35.31,46.77,1008.34
395,35.46,36.94,35.31,46.76,1008.33
396,35.55,36.94,35.30,46.76,1008.32
397,35.64,36.91,35.28,46.72,1008.32
398,35.73,36.88,35.26,46.71,1008.31
399,35.82,36.87,35.23,46.69,1008.30
400,35.91,36.84,35.20,46.70,1008.30
401,36.00,36.82,35.19,46.74,1008.29
402,36.09,36.82,35.18,46.75,1008.28
403,36.18,36.80,35.18,46.74,1008.28
404,36.27,36.79,35.17,46.71,1008.27
405,36.36,36.77,35.18,46.69,1008.25
406,36.45,36.76,35.14,46.70,1008.25
407,36.54,36.74,35.12,46.68,1008.26
408,36.63,36.71,35.09,46.72,1008.26
409,36.72,36.70,35.09,46.73,1008.26
410,36.81,36.70,35.06,46.73,1008.26
411,36.90,36.67,35.04,46.74,1008.26
412,36.99,36.66,35.05,46.75,1008.25
413,37.08,36.63,35.04,46.77,1008.26
414,37.17,36.60,35.02,46.75,1008.26
415,37.26,36.59,34.99,46.73,1008.27
416,37.35,36.59,34.97,46.72,1008.28
417,37.44,36.59,34.97,46.70,1008.27
418,37.53,36.56,34.95,46.72,1008.27
419,37.62,36.55,34.93,46.74,1008.27
420,37.71,36.55,34.93,46.76,1008.28
421,37.80,36.52,34.91,46.79,1008.28
422,37.89,36.51,34.89,46.81,1008.29
423,37.98,36.49,34.87,46.79,1008.29
424,38.07,36.47,34.89,46.79,1008.29
425,38.16,36.44,34.88,46.79,1008.29
426,38.25,36.43,34.86,46.79,1008.30
427,38.34,36.42,34.84,46.78,1008.30
428,38.43,36.41,34.81,46.78,1008.29
429,38.52,36.41,34.78,46.80,1008.29
430,38.61,36.40,34.77,46.80,1008.30
431,38.70,36.39,34.74,46.82,1008.30
432,38.79,36.37,34.75,46.84,1008.30
433,38.88,36.37,34.73,46.85,1008.31
434,38.97,36.35,34.72,46.84,1008.31
435,39.06,36.34,34.71,46.80,1008.33
436,39.15,36.32,34.70,46.84,1008.32
437,39.24,36.30,34.67,46.87,1008.33
438,39.33,36.29,34.65,46.92,1008.32
439,39.42,36.28,34.64,46.91,1008.32
440,39.51,36.25,34.64,46.88,1008.32
441,39.60,36.24,34.63,46.91,1008.32
442,39.69,36.22,34.60,46.91,1008.32
443,39.78,36.21,34.60,46.93,1008.33
444,39.87,36.20,34.58,46.96,1008.33
445,39.96,36.18,34.57,46.96,1008.34
446,40.05,36.16,34.58,46.95,1008.35
447,40.14,36.14,34.57,46.97,1008.35
448,40.23,36.12,34.55,46.98,1008.36
449,40.32,36.09,34.56,47.03,1008.37
450,40.41,36.07,34.52,47.03,1008.37
451,40.50,36.05,34.53,47.03,1008.38
452,40.59,36.04,34.52,47.00,1008.39
453,40.68,36.03,34.51,46.99,1008.38
454,40.77,36.01,34.51,46.99,1008.37
455,40.86,35.99,34.51,46.98,1008.37
456,40.95,35.97,34.51,46.96,1008.37
457,41.04,35.95,34.48,46.95,1008.37
458,41.13,35.93,34.45,46.96,1008.36
459,41.22,35.91,34.42,46.95,1008.35
460,41.31,35.89,34.42,46.93,1008.35
461,41.40,35.86,34.41,46.95,1008.35
462,41.49,35.84,34.39,46.97,1008.34
463,41.58,35.83,34.38,46.98,1008.34
464,41.67,35.82,34.38,46.96,1008.34
465,41.76,35.79,34.35,47.00,1008.33
466,41.85,35.77,34.33,46.99,1008.34
467,41.94,35.77,34.34,46.97,1008.34
468,42.03,35.76,34.34,46.94,1008.32
469,42.12,35.75,34.31,46.99,1008.31
470,42.21,35.74,34.30,47.01,1008.31
471,42.30,35.72,34.29,47.03,1008.31
472,42.39,35.71,34.28,47.03,1008.31
473,42.48,35.71,34.27,47.01,1008.32
474,42.57,35.69,34.27,47.04,1008.33
475,42.66,35.68,34.24,47.02,1008.32
476,42.75,35.68,34.24,47.04,1008.32
477,42.84,35.66,34.24,47.07,1008.31
478,42.93,35.66,34.24,47.05,1008.32
479,43.02,35.65,34.23,47.08,1008.30
480,43.11,35.64,34.20,47.13,1008.31
481,43.20,35.62,34.19,47.13,1008.29
482,43.29,35.61,34.17,47.11,1008.29
483,43.38,35.59,34.18,47.10,1008.28
484,43.47,35.57,34.15,47.13,1008.27
485,43.56,35.54,34.14,47.15,1008.27
486,43.65,35.54,34.14,47.17,1008.27
487,43.74,35.52,34.14,47.20,1008.27
488,43.83,35.51,34.13,47.15,1008.27
489,43.92,35.49,34.12,47.17,1008.27
490,44.01,35.49,34.12,47.19,1008.28
491,44.10,35.47,34.11,47.21,1008.28
492,44.19,35.46,34.11,47.23,1008.28
493,44.28,35.44,34.12,47.24,1008.28
494,44.37,35.44,34.11,47.30,1008.28
495,44.46,35.43,34.09,47.31,1008.28
496,44.55,35.41,34.09,47.34,1008.28
497,44.64,35.38,34.07,47.35,1008.28
498,44.73,35.36,34.08,47.34,1008.27
499,44.82,35.33,34.07,47.36,1008.27
500,44.91,35.33,34.06,47.37,1008.27
501,45.00,35.31,34.05,47.35,1008.27
502,45.09,35.31,34.04,47.33,1008.27
503,45.18,35.32,34.02,47.34,1008.27
504,45.27,35.32,34.01,47.34,1008.28
505,45.36,35.31,33.99,47.32,1008.26
506,45.45,35.30,33.97,47.30,1008.25
507,45.54,35.28,33.96,47.32,1008.24
508,45.63,35.28,33.93,47.30,1008.24
509,45.72,35.28,33.91,47.32,1008.24
510,45.81,35.26,33.90,47.29,1008.25
511,45.90,35.26,33.86,47.31,1008.25
512,45.99,35.24,33.83,47.30,1008.24
513,46.08,35.24,33.82,47.36,1008.23
514,46.17,35.23,33.81,47.36,1008.23
515,46.26,35.22,33.79,47.34,1008.24
516,46.35,35.20,33.76,47.38,1008.24
517,46.44,35.21,33.74,47.36,1008.26
518,46.53,35.20,33.70,47.38,1008.26
519,46.62,35.20,33.72,47.40,1008.26
520,46.71,35.19,33.71,47.39,1008.26
521,46.80,35.19,33.69,47.39,1008.26
522,46.89,35.17,33.68,47.38,1008.26
523,46.98,35.16,33.68,47.39,1008.27
524,47.07,35.15,33.68,47.38,1008.27
525,47.16,35.13,33.66,47.39,1008.28
526,47.25,35.11,33.65,47.41,1008.28
527,47.34,35.09,33.63,47.39,1008.29
528,47.43,35.07,33.61,47.40,1008.29
529,47.52,35.06,33.59,47.41,1008.30
530,47.61,35.04,33.57,47.39,1008.31
531,47.70,35.03,33.55,47.41,1008.29
532,47.79,35.01,33.53,47.43,1008.29
533,47.88,34.99,33.51,47.45,1008.27
534,47.97,35.00,33.51,47.47,1008.27
535,48.06,34.99,33.47,47.46,1008.29
536,48.15,34.99,33.46,47.46,1008.29
537,48.24,34.98,33.46,47.43,1008.29
538,48.33,34.95,33.44,47.44,1008.29
539,48.42,34.93,33.44,47.43,1008.31
540,48.51,34.91,33.42,47.44,1008.31
541,48.60,34.89,33.41,47.41,1008.31
542,48.69,34.90,33.40,47.43,1008.30
543,48.78,34.88,33.39,47.45,1008.31
544,48.87,34.87,33.39,47.47,1008.32
545,48.96,34.86,33.37,47.47,1008.31
546,49.05,34.85,33.37,47.46,1008.31
547,49.14,34.85,33.36,47.43,1008.30
